Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.08739908739908739;1;3
Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee , und deswegen bitte ich Sie , einen Briefentwurf , der Ihnen die wichtigsten Fakten schildert , zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen . ;1365 1536 87 16 10 32 16 779 1342 587 2455 5 0 14 20 7213 578 210 394 14 232 0 14 5 445 16 3362 6038 0 14 28 2644 20 73 472 5 363 50 572 4 5454 127 697 2339 28 397 25;These findings form the basis of the European programmes to protect the Barents Sea , and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament s position , as expressed in the resolutions which it has adopted , clear as far as Russia is concerned . ;1471 1188 524 4 264 12 4 193 1325 37 2612 4 20526 10093 20 53 31 28 710 117 427 708 448 37 2468 35 1035 2340 1369 1073 4 304 183 5548 53 37 119 64 24 707 20 21 1131 3 4 62 15 86 76 1376 20 72 21 1098 21 5031 28 42 26;This results are the basis the programmes on the protect , that urge I you the and decisions by the Parliament s in Russia . ;162 1600 41 4 264 4 1325 82 4 2612 20 31 4164 117 448 4 53 441 10 4 64 24 3 5031 26;3.295014878018031e-36;1;3
Frau Schroedter , ich bin gerne bereit , die damit zusammenhängenden Fakten zu prüfen , wenn mir Ihr Brief vorliegt . ;617 10198 14 210 675 738 2519 14 16 1232 7045 6038 28 2644 14 278 940 2112 4582 4584 25;Yes , Mrs Schroedter , I shall be pleased to look into the facts of this case when I have received your letter . ;4342 20 2185 9401 20 117 331 8 4118 37 690 847 4 5548 12 124 922 363 117 113 1136 1234 2340 26;Mrs Schroedter , I am like to to if your . ;2185 9401 20 117 681 118 37 37 121 1234 26;2.964793547772347e-14;1;3
Dennoch , Frau Präsidentin , wurde meinem Wunsch nicht entsprochen . ;2969 14 617 618 14 412 849 2208 315 5159 25;But , Madam President , my personal request has not been met . ;1846 20 635 58 20 844 2794 1833 76 77 78 1750 26;However , , Madam President , . ;843 20 20 635 58 20 26;4.959251527740384e-07;1;3
Frau Plooij-van Gorsel , ich kann Ihnen mitteilen , daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht . ;617 7747 6637 14 210 371 445 3603 14 30 82 1065 721 5936 9 5 1002 5 7791 36 25;Mrs Plooij-van Gorsel , I can tell you that this matter is on the agenda for the Quaestors meeting on Wednesday . ;2185 6088 6089 20 117 6 1751 448 31 124 1077 28 82 4 1001 61 4 7153 1290 82 5460 26;Mrs Plooij-van , I can to inform you that this on Wednesday to of the Quaestors . ;2185 6088 20 117 6 37 3369 448 31 124 82 5460 37 12 4 7153 26;3.652954399756233e-15;1;3
Ich hoffe , daß dort in Ihrem Sinne entschieden wird . ;107 1845 14 30 955 4 9819 472 874 139 25;It will , I hope , be examined in a positive light . ;27 125 20 117 136 20 8 4822 3 35 485 2646 26;I hope that . ;117 136 31 26;5.591578757557572e-07;1;3
Frau Präsidentin , können Sie mir sagen , warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält , die es selbst verabschiedet hat ? ;617 618 14 311 394 940 436 14 477 180 207 63 315 113 16 0 2554 14 16 27 666 2308 120 554;Madam President , can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ? ;635 58 20 6 448 1751 766 710 124 64 456 77 7550 37 4 973 53 360 279 31 86 2004 18219 577;Madam President you me tell why Parliament not is ? ;635 58 448 766 1751 710 64 77 28 577;1.8696057668107729e-16;1;1
Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft ? ;9148 412 16 17723 4 137 7257 872 422 5400 315 67 6250 1310 5576 554;Why has no air quality test been done on this particular building since we were elected ? ;1320 76 740 2191 1868 6977 78 460 82 124 438 44 107 318 114 864 577;Why the air quality house have been our a ? ;1320 4 2191 1868 9348 113 78 154 35 577;2.2451505248707996e-10;1;1
Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten ? ;9148 7 5 0 872 161 315 67 6250 1310 0 554;Why has there been no Health and Safety Committee meeting since 1998 ? ;1320 76 672 78 740 4435 53 9781 1046 1290 107 166 577;Why is the since a ? ;1320 28 4 107 35 577;2.924350387506209e-09;1;5
Warum finden keine Brandschutzbelehrungen statt ? ;804 214 80 0 934 554;Why are there no fire instructions ? ;1320 41 672 740 6395 15410 577;Why not ? ;1320 77 577;0.0006038376481487122;1;6
Warum wurde nach meinem Unfall nichts unternommen , um die Treppen sicherer zu machen ? ;804 412 147 849 12990 2482 2881 14 390 16 0 1943 28 397 554;Why have the staircases not been improved since my accident ? ;1320 113 4 28896 77 78 3174 107 844 3540 577;Why was days made nothing about effort to safer and more secure ? ;1320 834 3682 228 1649 339 1384 37 12365 53 65 80 577;1.1245017643789527e-09;1;1
Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt ? ;804 139 4 33 0 15 0 315 5013 554;Why are no-smoking areas not enforced ? ;1320 41 9521 425 77 4638 577;Why the not enforced ? ;1320 4 77 4638 577;1.8080724778914312e-08;1;3
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we we . ;27 28 35 8257 31 318 318 26;1.187033539746023e-11;1;3
Frau Lynne , Sie haben völlig recht , und ich werde prüfen , ob all dies wirklich so ist . ;617 1920 14 394 95 1195 4849 14 20 210 1165 2644 14 1469 3431 302 1921 208 7 25;Mrs Lynne , you are quite right and I shall check whether this has actually not been done . ;2185 14283 20 448 41 120 871 53 117 331 3293 1142 124 76 2004 77 78 460 26;Mrs Lynne , you have and I will consider whether all is . ;2185 14283 20 448 113 53 117 125 109 1142 223 28 26;2.0626081667470833e-12;1;3
Frau Präsidentin ! Frau Díez González und ich hatten einige Anfragen zu bestimmten , in einer spanischen Zeitung wiedergegebenen Stellungnahmen der Vizepräsidentin , Frau de Palacio , gestellt . ;617 618 58 617 0 7462 20 210 140 146 298 28 4186 14 4 456 1560 10790 0 5104 5 4418 14 617 1170 6648 14 444 25;Madam President , Mrs Díez González and I had tabled questions on certain opinions of the Vice-President , Mrs de Palacio , which appeared in a Spanish newspaper . ;635 58 20 2185 4838 4839 53 117 442 63 312 82 394 3793 12 4 4133 20 2185 6287 6097 20 15 2554 3 35 1539 8723 26;Madam President , González and I have had some all disastrously opinions Vice-President , Mrs de Palacio , . ;635 58 20 4839 53 117 113 442 149 223 7636 3793 4133 20 2185 6287 6097 20 26;3.236133361316555e-22;1;3
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because the nor case is . ;117 708 6947 124 49 481 4 511 922 28 26;1.539918044391078e-10;1;5
Die früher beantworteten Anfragen bezogen sich auf das Auftreten von Frau de Palacio in einer bestimmten Angelegenheit , nicht auf die am 18 . November des vergangenen Jahres in der Tageszeitung ABC erschienenen Erklärungen . ;37 4611 0 298 6135 180 9 15 3296 46 617 1170 6648 4 456 4186 557 14 315 9 16 721 6052 25 3876 50 1810 1007 4 5 13048 0 0 4219 25;The questions answered previously referred to Mrs de Palacio s intervention , on another occasion , and not to these comments which appeared in the ABC newspaper on 18 November . ;226 312 7066 1563 130 37 2185 6287 6097 24 2281 20 82 1941 4797 20 53 77 37 84 1334 15 2554 3 4 0 8723 82 5573 3613 26;The consultative paper questions Mrs de Palacio in affair . November of the in the explanations . ;226 10490 1891 312 2185 6287 6097 3 6233 26 3613 12 4 3 4 2432 26;1.5192740879602448e-27;1;6
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;we will the look into it . ;318 125 4 690 847 86 26;4.7895227405232755e-05;1;4
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must that I . ;117 347 31 117 26;5.306308439386004e-13;1;3
Wir werden das aber sehr genau prüfen , damit alles seine Richtigkeit hat . ;129 115 15 383 510 3585 2644 14 1232 406 164 5962 120 25;We shall therefore look into it properly to ensure that everything is as it should be . ;40 331 29 690 847 86 5183 37 770 31 2046 28 21 86 33 8 26;We will but look at so that . ;40 125 322 690 242 1097 31 26;8.037169825187086e-12;1;3
Die heutige Entscheidung gegen eine Verlängerung des Embargos birgt angesichts der dortigen Lage eine sehr große Gefahr . ;37 3789 809 280 211 3525 50 5472 1575 1600 5 11973 2721 211 510 580 1606 25;Today s decision not to renew the embargo is extremely dangerous considering the situation there . ;1489 24 49 77 37 13854 4 5055 28 475 1453 5353 4 69 672 26;Today s against extension embargo carries situation to very threat . ;1489 24 177 5122 5055 6368 69 37 372 1588 26;5.743616249859106e-12;1;1
Das Parlament sollte , da dies dem Wunsch der großen Mehrheit entspricht , eine entsprechende Botschaft senden . ;157 63 694 14 104 302 61 2208 5 1015 986 2522 14 211 1397 3773 5259 25;So Parliament should send a message , since that is the wish of the vast majority . ;724 64 33 3976 35 3524 20 107 31 28 4 92 12 4 3246 985 26;Parliament should because this majority message sending . ;64 33 481 124 985 3524 1625 26;4.877845573076961e-13;1;3
Die Ablehnung einer Verlängerung des Embargos seitens der EU-Mitgliedstaaten ist unverantwortlich . ;37 5522 456 3525 50 5472 4136 5 11136 7 6144 25;It is irresponsible of EU Member States to refuse to renew the embargo . ;27 28 4958 12 32 202 75 37 9027 37 13854 4 5055 26;rejection of a extending embargo EU Member States is it irresponsible . ;5884 12 35 5529 5055 32 202 75 28 86 4958 26;1.5949351742579096e-08;1;3
Wie bereits festgestellt wurde , ist die Lage in Indonesien äußerst instabil . ;282 260 2853 412 14 7 16 2721 4 2990 1147 18390 25;As people have said , the situation there is extremely volatile . ;292 420 113 532 20 4 69 672 28 475 28597 26;As the situation in . ;292 4 69 3 26;8.797674325133032e-09;1;2
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even one of . ;27 28 976 413 12 26;3.0774769709476684e-06;1;6
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know not happen . ;40 335 77 2176 26;0.00037086851198703637;1;2
Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen . ;1041 1065 7 1101 315 32 16 4916 721 1672 1703 25;In any event , this question is not presently included among the requests for topical and urgent debate on Thursday . ;451 452 453 20 124 213 28 77 3122 1945 1053 4 4757 61 4557 53 407 269 82 1644 26;This point is on place on Thursday . ;162 1089 28 82 856 82 1644 26;3.6206917274311036e-08;1;6
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung , wie er nach Artikel 110 der Geschäftsordnung am Donnerstag , dem 13 . Januar von der Konferenz der Präsidenten festgelegt wurde . ;2212 5 1002 3317 16 242 50 3606 2637 5 1002 14 420 700 147 453 12021 5 755 721 1672 14 61 2735 25 2448 46 5 1123 5 3258 3338 412 25;The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure . ;226 1260 3063 28 4 6926 12 4 3149 4924 12 4 1035 1001 21 3285 890 10 4 474 12 6761 242 170 1290 12 2541 4368 3170 37 1614 11365 12 4 771 12 772 26;The item is the scrutiny the of draft of 110 Rules of Procedure place on Thursday 13 . by packhorses the conference Presidents . ;226 3063 28 4 6518 4 12 1035 12 11365 771 12 772 856 82 1644 2541 26 10 11602 4 1114 6761 26;4.197350653625639e-24;1;3
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;Wednesday ;5460;0.08064516129032258;1;2
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group Group Commission a declaration on strategic objectives for next years and Union specific Commission currently . ;226 234 234 227 35 6509 82 1890 1473 61 1260 397 53 276 428 227 306 26;1.757261168237084e-24;1;3
Danach verfahren wir wie üblich ein Redner dafür , einer dagegen . ;8927 1032 42 420 7824 67 6951 938 14 456 4305 25;Then we shall follow the usual procedure , hearing one speaker in favour and one against . ;4772 318 331 2792 4 4689 1300 20 2303 413 4672 3 1015 53 413 177 26;This do as usual one . ;162 580 21 4689 413 26;1.3562412812269305e-11;1;1
In diesem Sinne erinnere ich an die Entschließung vom 15 . September , in der empfohlen wurde , den Vorschlag in der kürzestmöglichen Frist vorzulegen . ;437 137 472 6926 210 113 16 1535 743 299 25 9041 14 4 5 5828 412 14 33 233 4 5 0 1507 2102 25;To this end , I would like to remind you of the resolution of 15 September , which recommended that the proposal be presented as soon as possible . ;1262 124 349 20 117 427 118 37 1882 448 12 4 1065 12 315 7695 20 15 2132 31 4 240 8 239 21 2049 21 209 26;In this , I to the resolution . , recommends in the . ;451 124 20 117 37 4 1065 26 20 6503 3 4 26;1.384438017764545e-18;1;3
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The President is the . ;226 58 28 4 26;1.5684176273333354e-09;1;4
Da die Kommission durch die Vizepräsidentin , Frau de Palacio , vertreten ist , halte ich es für zweckmäßig , vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms , so wie es vereinbart war , zu erfahren . ) , oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage , wie einige offenbar vorgeben . ;3729 16 219 189 16 4418 14 617 1170 6648 14 1641 7 14 1115 210 27 32 7326 14 96 5 1190 16 697 5 219 331 93 2866 222 4466 50 1821 14 208 420 27 10325 818 14 28 3583 25 886 14 69 15 63 7 222 242 207 1821 315 4 5 2721 14 420 146 4006 14923 25;Given that the Commission is represented by Vice-President de Palacio , I believe that , before voting , it would help if the Commission could let us know how ready it is to present this programme , as agreed . Alternatively , Parliament is not ready to examine this programme , as some appear to be suggesting . ;4196 31 4 227 28 4262 10 4133 6287 6097 20 117 208 31 20 101 2267 20 86 427 1903 121 4 227 461 1749 295 335 431 700 86 28 37 153 124 163 20 21 2715 26 13204 20 64 28 77 700 37 2468 124 163 20 21 149 4179 37 8 4536 26;As the Commission de Palacio , represented I consider appropriate Union specific Commission currently willingness of the programme , so agreed . ) or in other Parliament this programme the some obviously . ;292 4 227 6287 6097 20 4262 117 109 1828 276 428 227 306 8023 12 4 163 20 1097 2715 26 902 66 3 731 64 124 163 4 149 2420 26;1.5032330205121517e-47;1;3
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;therefore ask I Madam President , Commission and the then vote . ;29 708 117 635 58 20 227 53 4 330 1181 26;5.257155796986386e-17;1;3
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause of the PSE Group ) ;900 901 12 4 1642 234 902;0.0060951327502352;1;4
Herr Kollege Barón Crespo , Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein . ;53 1460 7589 7590 14 394 85 721 1092 1672 4 5 1123 5 3258 315 3483 1035 25;Mr Barón Crespo , you were unable to attend the Conference of Presidents last Thursday . ;47 6990 6991 20 448 114 2633 37 3840 4 474 12 6761 1416 1644 26;Mr Barón Crespo , you in the Presidents Chamber . ;47 6990 6991 20 448 3 4 6761 3102 26;2.0543191324905673e-14;1;3
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;This I not it always that can be . ;162 117 77 86 768 31 6 8 26;2.4829917140028624e-11;1;3
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;The colleague Hänsch you . ;226 1436 5459 448 26;4.169957476302123e-06;1;3
