Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of session ;8645 12 1607;0.17638398115429918;1;1
Meine Frage betrifft eine Angelegenheit , die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde . ;1741 202 474 211 557 14 16 721 1672 222 1778 1374 139 20 9 16 210 569 1649 2284 1165 25;My question relates to something that will come up on Thursday and which I will then raise again . ;1933 213 4361 37 2472 31 125 151 890 82 1644 53 15 117 125 330 1714 1301 26;My question concerns a matter on Thursday and I point out will . ;1933 213 483 35 1077 82 1644 53 117 1089 1073 125 26;6.010875788787093e-16;1;3
Genau dann können Sie , wenn Sie wollen , diese Frage ansprechen , d . h . am Donnerstag zu Beginn der Aussprache über den Bericht . ;6365 569 311 394 14 278 394 90 14 127 202 7021 14 1024 25 1025 25 721 1672 28 2802 5 262 153 33 1506 25;That is precisely the time when you may , if you wish , raise this question , i . e . on Thursday prior to the start of the presentation of the report . ;1014 28 1709 4 398 363 448 319 20 121 448 92 20 1714 124 213 20 1026 26 1027 26 82 1644 2023 37 4 1004 12 4 1735 12 4 1132 26;then can if you want . . place on Thursday at beginning on the ;330 6 121 448 738 26 26 856 82 1644 242 139 82 4;6.317704120043385e-17;3;3
Frau Präsidentin ! ;617 618 58; ;;Madam President , ;635 58 20;0.268299053022297;1;2
Auf Wunsch eines französischen Mitglieds , Herrn Zimeray , wurde bereits eine Petition eingereicht , die von vielen , auch von mir selbst , unterzeichnet worden ist . ;2005 2208 11 3147 14622 14 143 0 14 412 260 211 15976 4814 14 16 46 2094 14 188 46 940 666 14 10014 432 7 25;At the request of a French Member , Mr Zimeray , a petition has already been presented , which many people signed , including myself . ;127 4 1833 12 35 1011 202 20 47 7418 20 35 13194 76 271 78 239 20 15 812 420 2864 20 1968 1330 26;In of a French Mr , said a also . ;451 12 35 1011 47 20 532 35 342 26;6.352225483958587e-22;1;3
All dies entspricht den Grundsätzen , die wir stets verteidigt haben . ;902 302 2522 33 3151 14 16 42 3635 11844 95 25;This is all in accordance with the principles that we have always upheld . ;162 28 223 3 265 46 4 1569 31 318 113 768 9344 26;All this principles we have always defended . ;918 124 1569 318 113 768 3239 26;4.269686291587242e-09;1;3
Vielen Dank , Herr Segni , das will ich gerne tun . ;924 925 14 53 0 14 15 236 210 738 800 25;Thank you , Mr Segni , I shall do so gladly . ;447 448 20 47 0 20 117 331 580 1097 5311 26;Thank you , Mr , I wants . ;447 448 20 47 20 117 1090 26;4.326100389513066e-09;1;4
Das ist ganz im Sinne der Position , die wir als Parlament immer vertreten haben . ;157 7 109 73 472 5 697 14 16 42 354 63 671 1641 95 25;Indeed , it is quite in keeping with the positions this House has always adopted . ;1485 20 86 28 120 3 3479 46 4 1317 124 1479 76 768 1376 26;The is we Parliament always . ;226 28 318 64 768 26;4.060135755817701e-12;1;4
Frau Präsidentin ! Ich möchte Sie auf einen Fall aufmerksam machen , mit dem sich dieses Parlament immer wieder befaßt hat . ;617 618 58 107 108 394 9 232 908 396 397 14 131 61 180 207 63 671 91 297 120 25;Madam President , I should like to draw your attention to a case in which this Parliament has consistently shown an interest . ;635 58 20 117 33 118 37 409 1234 410 37 35 922 3 15 124 64 76 6318 852 13 970 26;Madam President , I would like to a closely are Parliament . ;635 58 20 117 427 118 37 35 558 41 64 26;4.240548094143247e-15;1;3
Das ist der Fall von Alexander Nikitin . ;157 7 5 908 46 16894 0 25;It is the case of Alexander Nikitin . ;27 28 4 922 12 18703 38049 26;The is . ;226 28 26;1.7090636311606525e-05;1;5
Wir freuen uns hier alle , daß das Gericht ihn freigesprochen und deutlich gemacht hat , daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist . ;129 11219 285 531 706 14 30 15 3093 2384 0 20 2339 1213 120 14 30 188 4 5454 5 3970 28 11598 0 309 7 25;All of us here are pleased that the courts have acquitted him and made it clear that in Russia , too , access to environmental information is a constitutional right . ;918 12 295 712 41 4118 31 4 4612 113 10878 2247 53 228 86 72 31 3 5031 20 404 20 1713 37 933 204 28 35 2300 871 26;We look forward all that the and that Russia access to information environment right is . ;40 690 1885 223 31 4 53 31 5031 1713 37 204 1459 871 28 26;2.8716952017173674e-19;1;6
Nun ist es aber so , daß er wieder angeklagt werden soll , weil der Staatsanwalt in Berufung geht . ;919 7 27 383 208 14 30 700 91 10904 115 329 14 469 5 6810 4 14401 417 25;Now , however , he is to go before the courts once more because the public prosecutor is appealing . ;2537 20 693 20 711 28 37 423 101 4 4612 73 65 481 4 971 6252 28 10559 26;Now is that because the public prosecutor in . ;2537 28 31 481 4 971 6252 3 26;7.140588566235158e-13;1;3
Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee , und deswegen bitte ich Sie , einen Briefentwurf , der Ihnen die wichtigsten Fakten schildert , zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen . ;1365 1536 87 16 10 32 16 779 1342 587 2455 5 0 14 20 7213 578 210 394 14 232 0 14 5 445 16 3362 6038 0 14 28 2644 20 73 472 5 363 50 572 4 5454 127 697 2339 28 397 25;These findings form the basis of the European programmes to protect the Barents Sea , and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament s position , as expressed in the resolutions which it has adopted , clear as far as Russia is concerned . ;1471 1188 524 4 264 12 4 193 1325 37 2612 4 20526 10093 20 53 31 28 710 117 427 708 448 37 2468 35 1035 2340 1369 1073 4 304 183 5548 53 37 119 64 24 707 20 21 1131 3 4 62 15 86 76 1376 20 72 21 1098 21 5031 28 42 26;This results are the basis for European programmes protect and would ask I you , main and decisions Parliament s of in Russia to make . ;162 1600 41 4 264 61 193 1325 2612 53 427 708 117 448 20 521 53 441 64 24 12 3 5031 37 119 26;2.3590075903648234e-36;1;3
Frau Schroedter , ich bin gerne bereit , die damit zusammenhängenden Fakten zu prüfen , wenn mir Ihr Brief vorliegt . ;617 10198 14 210 675 738 2519 14 16 1232 7045 6038 28 2644 14 278 940 2112 4582 4584 25;Yes , Mrs Schroedter , I shall be pleased to look into the facts of this case when I have received your letter . ;4342 20 2185 9401 20 117 331 8 4118 37 690 847 4 5548 12 124 922 363 117 113 1136 1234 2340 26;Schroedter I am like to facts if . ;9401 117 681 118 37 5548 121 26;7.323552271073693e-14;1;3
Dennoch , Frau Präsidentin , wurde meinem Wunsch nicht entsprochen . ;2969 14 617 618 14 412 849 2208 315 5159 25;But , Madam President , my personal request has not been met . ;1846 20 635 58 20 844 2794 1833 76 77 78 1750 26;However , , Madam President , my . ;843 20 20 635 58 20 844 26;3.8564910178440395e-07;1;2
Frau Plooij-van Gorsel , ich kann Ihnen mitteilen , daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht . ;617 7747 6637 14 210 371 445 3603 14 30 82 1065 721 5936 9 5 1002 5 7791 36 25;Mrs Plooij-van Gorsel , I can tell you that this matter is on the agenda for the Quaestors meeting on Wednesday . ;2185 6088 6089 20 117 6 1751 448 31 124 1077 28 82 4 1001 61 4 7153 1290 82 5460 26;Plooij-van Gorsel I can that this in item . ;6088 6089 117 6 31 124 3 3063 26;2.5622460624478815e-14;1;4
Ich hoffe , daß dort in Ihrem Sinne entschieden wird . ;107 1845 14 30 955 4 9819 472 874 139 25;It will , I hope , be examined in a positive light . ;27 125 20 117 136 20 8 4822 3 35 485 2646 26;I hope that . ;117 136 31 26;3.698371712907614e-07;1;4
Frau Präsidentin , können Sie mir sagen , warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält , die es selbst verabschiedet hat ? ;617 618 14 311 394 940 436 14 477 180 207 63 315 113 16 0 2554 14 16 27 666 2308 120 554;Madam President , can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ? ;635 58 20 6 448 1751 766 710 124 64 456 77 7550 37 4 973 53 360 279 31 86 2004 18219 577;Madam President , why parliaments does not the ? ;635 58 20 710 317 456 77 4 577;3.04577639653247e-15;1;2
Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft ? ;9148 412 16 17723 4 137 7257 872 422 5400 315 67 6250 1310 5576 554;Why has no air quality test been done on this particular building since we were elected ? ;1320 76 740 2191 1868 6977 78 460 82 124 438 44 107 318 114 864 577;Why the air quality in this since our a time ? ;1320 4 2191 1868 3 124 107 154 35 398 577;6.104012524676022e-10;1;2
Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten ? ;9148 7 5 0 872 161 315 67 6250 1310 0 554;Why has there been no Health and Safety Committee meeting since 1998 ? ;1320 76 672 78 740 4435 53 9781 1046 1290 107 166 577;Why is 1998 a time ? ;1320 28 166 35 398 577;7.557366366482875e-09;1;7
Warum hat weder im Brüsseler noch im Straßburger Parlamentsgebäude eine Brandschutzübung stattgefunden ? ;804 120 609 73 1205 613 73 4973 0 211 0 835 554;Why has there been no fire drill , either in the Brussels Parliament buildings or the Strasbourg Parliament buildings ? ;1320 76 672 78 740 6395 33279 20 1249 3 4 1202 64 6718 66 4 2380 64 6718 577;Why neither in ? ;1320 509 3 577;6.871875605078642e-09;1;2
Warum finden keine Brandschutzbelehrungen statt ? ;804 214 80 0 934 554;Why are there no fire instructions ? ;1320 41 672 740 6395 15410 577;Why no ? ;1320 740 577;0.0043006110592939085;1;7
Warum wurde nach meinem Unfall nichts unternommen , um die Treppen sicherer zu machen ? ;804 412 147 849 12990 2482 2881 14 390 16 0 1943 28 397 554;Why have the staircases not been improved since my accident ? ;1320 113 4 28896 77 78 3174 107 844 3540 577;Why my nothing accident to the make ? ;1320 844 1649 3540 37 4 119 577;1.963607588900708e-10;1;3
Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt ? ;804 139 4 33 0 15 0 315 5013 554;Why are no-smoking areas not enforced ? ;1320 41 9521 425 77 4638 577;Why not ? ;1320 77 577;1.1845351244493979e-07;1;2
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we adopt rules we . ;27 28 35 8257 31 318 1457 1905 318 26;1.0795290227886702e-13;1;4
Frau Lynne , Sie haben völlig recht , und ich werde prüfen , ob all dies wirklich so ist . ;617 1920 14 394 95 1195 4849 14 20 210 1165 2644 14 1469 3431 302 1921 208 7 25;Mrs Lynne , you are quite right and I shall check whether this has actually not been done . ;2185 14283 20 448 41 120 871 53 117 331 3293 1142 124 76 2004 77 78 460 26;Mrs Lynne , you have quite and I will consider whether all really is . ;2185 14283 20 448 113 120 53 117 125 109 1142 223 3346 28 26;1.1105062483627954e-14;1;5
Ich werde die Frage auch den Quästoren unterbreiten . Ich bin mir sicher , daß diese großen Wert darauf legen , daß wir die Rechtsvorschriften , die wir verabschieden , auch selbst einhalten . ;107 1165 16 202 188 33 7791 156 25 107 675 940 854 14 30 127 1015 2331 561 2025 14 30 42 16 273 14 16 42 5156 14 188 666 4027 25;I shall also refer the matter to the College of Quaestors , and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on . ;117 331 342 437 4 1077 37 4 7154 12 7153 20 53 117 681 394 31 108 125 8 3949 37 770 31 318 4482 46 4 2385 318 686 1181 82 26;I will the Quaestors . I am sure that value that we legislation we even . ;117 125 4 7153 26 117 681 999 31 3480 31 318 279 318 976 26;3.3584617021985604e-22;1;3
Frau Präsidentin ! Frau Díez González und ich hatten einige Anfragen zu bestimmten , in einer spanischen Zeitung wiedergegebenen Stellungnahmen der Vizepräsidentin , Frau de Palacio , gestellt . ;617 618 58 617 0 7462 20 210 140 146 298 28 4186 14 4 456 1560 10790 0 5104 5 4418 14 617 1170 6648 14 444 25;Madam President , Mrs Díez González and I had tabled questions on certain opinions of the Vice-President , Mrs de Palacio , which appeared in a Spanish newspaper . ;635 58 20 2185 4838 4839 53 117 442 63 312 82 394 3793 12 4 4133 20 2185 6287 6097 20 15 2554 3 35 1539 8723 26;Madam President , González and I some asked certain Vice-President de Palacio . ;635 58 20 4839 53 117 149 314 394 4133 6287 6097 26;1.986216352949219e-22;1;2
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because the . ;117 708 6947 124 49 481 4 26;4.723349036855451e-10;1;6
Die früher beantworteten Anfragen bezogen sich auf das Auftreten von Frau de Palacio in einer bestimmten Angelegenheit , nicht auf die am 18 . November des vergangenen Jahres in der Tageszeitung ABC erschienenen Erklärungen . ;37 4611 0 298 6135 180 9 15 3296 46 617 1170 6648 4 456 4186 557 14 315 9 16 721 6052 25 3876 50 1810 1007 4 5 13048 0 0 4219 25;The questions answered previously referred to Mrs de Palacio s intervention , on another occasion , and not to these comments which appeared in the ABC newspaper on 18 November . ;226 312 7066 1563 130 37 2185 6287 6097 24 2281 20 82 1941 4797 20 53 77 37 84 1334 15 2554 3 4 0 8723 82 5573 3613 26;The sooner asked referred , of de Palacio not . November of the in household appliances ;226 4145 314 130 20 12 6287 6097 77 26 3613 12 4 3 4481 11685;1.944695907020991e-26;3;6
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;, we . ;20 318 26;2.63582020388012e-06;1;3
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must that I situation something think . ;117 347 31 117 69 2472 377 26;1.3962341173848444e-12;1;5
Wir werden das aber sehr genau prüfen , damit alles seine Richtigkeit hat . ;129 115 15 383 510 3585 2644 14 1232 406 164 5962 120 25;We shall therefore look into it properly to ensure that everything is as it should be . ;40 331 29 690 847 86 5183 37 770 31 2046 28 21 86 33 8 26;We will so that everything its . ;40 125 1097 31 2046 170 26;1.922361882178391e-12;1;5
Das Parlament sollte , da dies dem Wunsch der großen Mehrheit entspricht , eine entsprechende Botschaft senden . ;157 63 694 14 104 302 61 2208 5 1015 986 2522 14 211 1397 3773 5259 25;So Parliament should send a message , since that is the wish of the vast majority . ;724 64 33 3976 35 3524 20 107 31 28 4 92 12 4 3246 985 26;Parliament should because this majority message . ;64 33 481 124 985 3524 26;2.7453956038842783e-13;1;4
Die Ablehnung einer Verlängerung des Embargos seitens der EU-Mitgliedstaaten ist unverantwortlich . ;37 5522 456 3525 50 5472 4136 5 11136 7 6144 25;It is irresponsible of EU Member States to refuse to renew the embargo . ;27 28 4958 12 32 202 75 37 9027 37 13854 4 5055 26;Extension The rejection by EU Member States is irresponsible . ;15728 226 5884 10 32 202 75 28 4958 26;7.303467202048852e-08;1;3
Wie bereits festgestellt wurde , ist die Lage in Indonesien äußerst instabil . ;282 260 2853 412 14 7 16 2721 4 2990 1147 18390 25;As people have said , the situation there is extremely volatile . ;292 420 113 532 20 4 69 672 28 475 28597 26;As the situation in fragile . ;292 4 69 3 15780 26;1.2137802306755383e-08;1;3
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even danger . ;27 28 976 1984 26;2.545738375346809e-06;1;7
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know not what happening . ;40 335 77 467 3158 26;0.003099582195451294;1;4
Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen . ;1041 1065 7 1101 315 32 16 4916 721 1672 1703 25;In any event , this question is not presently included among the requests for topical and urgent debate on Thursday . ;451 452 453 20 124 213 28 77 3122 1945 1053 4 4757 61 4557 53 407 269 82 1644 26;This point is so far does not place on Thursday . ;162 1089 28 1097 1098 456 77 856 82 1644 26;4.427192498032593e-08;1;4
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;;;0.04032258064516129;2;2
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group Group Commission on their strategic objectives for next five years the and Commission agenda . ;226 234 234 227 82 111 1890 1473 61 1260 396 397 4 53 227 1001 26;1.606779941022334e-23;1;3
Ich bitte den Antragsteller , Herrn Barón Crespo , seinen Antrag zu begründen , falls er dies wünscht . ;107 578 33 10120 14 143 7589 7590 14 197 1667 28 1669 14 990 700 302 5537 25;I would like Mr Barón Crespo , who made the request , to speak to propose it . That is , if he so wishes , of course . ;117 427 118 47 6990 6991 20 287 228 4 1833 20 37 1640 37 2879 86 26 1014 28 20 121 711 1097 1639 20 12 931 26;I ask the Mr Barón if wishes . ;117 708 4 47 6990 121 1639 26;2.2210814477284377e-12;1;4
Danach verfahren wir wie üblich ein Redner dafür , einer dagegen . ;8927 1032 42 420 7824 67 6951 938 14 456 4305 25;Then we shall follow the usual procedure , hearing one speaker in favour and one against . ;4772 318 331 2792 4 4689 1300 20 2303 413 4672 3 1015 53 413 177 26;This do we do usual a speaker , . ;162 580 318 580 4689 35 4672 20 26;2.47068333737857e-11;1;2
Somit hatte die Kommission bereits genügend Zeit , ihr Programm zu erarbeiten , und wir , um es kennenlernen und den Bürgern erklären zu können . ;2818 2441 16 219 260 5146 291 14 1401 158 28 4861 14 20 42 14 390 27 0 20 33 319 1121 28 311 25;There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens . ;1363 76 29 78 2917 398 61 4 227 37 1528 170 163 53 61 295 37 666 719 46 86 53 487 86 37 154 333 26;therefore the Commission , programme and we generic and to . ;29 4 227 20 163 53 318 15165 53 37 26;3.561306641253991e-19;1;3
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The words President is to the situation . ;226 1981 58 28 37 4 69 26;2.5705183799392144e-09;1;3
Da die Kommission durch die Vizepräsidentin , Frau de Palacio , vertreten ist , halte ich es für zweckmäßig , vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms , so wie es vereinbart war , zu erfahren . ) , oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage , wie einige offenbar vorgeben . ;3729 16 219 189 16 4418 14 617 1170 6648 14 1641 7 14 1115 210 27 32 7326 14 96 5 1190 16 697 5 219 331 93 2866 222 4466 50 1821 14 208 420 27 10325 818 14 28 3583 25 886 14 69 15 63 7 222 242 207 1821 315 4 5 2721 14 420 146 4006 14923 25;Given that the Commission is represented by Vice-President de Palacio , I believe that , before voting , it would help if the Commission could let us know how ready it is to present this programme , as agreed . Alternatively , Parliament is not ready to examine this programme , as some appear to be suggesting . ;4196 31 4 227 28 4262 10 4133 6287 6097 20 117 208 31 20 101 2267 20 86 427 1903 121 4 227 461 1749 295 335 431 700 86 28 37 153 124 163 20 21 2715 26 13204 20 64 28 77 700 37 2468 124 163 20 21 149 4179 37 8 4536 26;As the Commission de Palacio , is I vote Commission willingness to of the programme . ) or the Parliament is examining this programme some obviously . ;292 4 227 6287 6097 20 28 117 1181 227 8023 37 12 4 163 26 902 66 4 64 28 1490 124 163 149 2420 26;7.017345110149263e-47;1;3
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;therefore ask I Madam President , Commission and that vote . ;29 708 117 635 58 20 227 53 31 1181 26;1.6633128784714748e-16;1;3
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause the PSE Group ) ;900 901 4 1642 234 902;0.057691317165205765;1;1
Herr Kollege Barón Crespo , Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein . ;53 1460 7589 7590 14 394 85 721 1092 1672 4 5 1123 5 3258 315 3483 1035 25;Mr Barón Crespo , you were unable to attend the Conference of Presidents last Thursday . ;47 6990 6991 20 448 114 2633 37 3840 4 474 12 6761 1416 1644 26;Mr Barón you last in Presidents present . ;47 6990 448 1416 3 6761 153 26;1.985329398082109e-13;1;3
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;The not do that . ;226 77 580 31 26;5.4526590544438835e-11;1;3
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;Mr Hänsch has . ;47 5459 76 26;4.802402628281741e-05;1;4
