Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.12152516522623286;1;2
Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee , und deswegen bitte ich Sie , einen Briefentwurf , der Ihnen die wichtigsten Fakten schildert , zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen . ;1365 1536 87 16 10 32 16 779 1342 587 2455 5 0 14 20 7213 578 210 394 14 232 0 14 5 445 16 3362 6038 0 14 28 2644 20 73 472 5 363 50 572 4 5454 127 697 2339 28 397 25;These findings form the basis of the European programmes to protect the Barents Sea , and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament s position , as expressed in the resolutions which it has adopted , clear as far as Russia is concerned . ;1471 1188 524 4 264 12 4 193 1325 37 2612 4 20526 10093 20 53 31 28 710 117 427 708 448 37 2468 35 1035 2340 1369 1073 4 304 183 5548 53 37 119 64 24 707 20 21 1131 3 4 62 15 86 76 1376 20 72 21 1098 21 5031 28 42 26;This results are the for European programmes protect and I therefore you you the and decisions by the Parliament in Russia has out this position . ;162 1600 41 4 61 193 1325 2612 53 117 29 448 448 4 53 441 10 4 64 3 5031 76 1073 124 707 26;1.3993356761755123e-23;1;2
Frau Plooij-van Gorsel , ich kann Ihnen mitteilen , daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht . ;617 7747 6637 14 210 371 445 3603 14 30 82 1065 721 5936 9 5 1002 5 7791 36 25;Mrs Plooij-van Gorsel , I can tell you that this matter is on the agenda for the Quaestors meeting on Wednesday . ;2185 6088 6089 20 117 6 1751 448 31 124 1077 28 82 4 1001 61 4 7153 1290 82 5460 26;Mrs Plooij-van , I can to inform you that this place on Wednesday the agenda Quaestors . ;2185 6088 20 117 6 37 3369 448 31 124 856 82 5460 4 1001 7153 26;4.6163465670065464e-11;1;3
Frau Präsidentin , können Sie mir sagen , warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält , die es selbst verabschiedet hat ? ;617 618 14 311 394 940 436 14 477 180 207 63 315 113 16 0 2554 14 16 27 666 2308 120 554;Madam President , can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ? ;635 58 20 6 448 1751 766 710 124 64 456 77 7550 37 4 973 53 360 279 31 86 2004 18219 577;Madam President you can say why Parliament this to not has adopted ? ;635 58 448 6 471 710 64 124 37 77 76 1376 577;1.432202351774937e-11;1;1
Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft ? ;9148 412 16 17723 4 137 7257 872 422 5400 315 67 6250 1310 5576 554;Why has no air quality test been done on this particular building since we were elected ? ;1320 76 740 2191 1868 6977 78 460 82 124 438 44 107 318 114 864 577;Why building air quality not this once since our election ;1320 44 2191 1868 77 124 73 107 154 4722;4.4902239968187455e-09;2;1
Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten ? ;9148 7 5 0 872 161 315 67 6250 1310 0 554;Why has there been no Health and Safety Committee meeting since 1998 ? ;1320 76 672 78 740 4435 53 9781 1046 1290 107 166 577;Why is the since 1998 a single ? ;1320 28 4 107 166 35 1693 577;2.5984337469026853e-06;1;4
Warum finden keine Brandschutzbelehrungen statt ? ;804 214 80 0 934 554;Why are there no fire instructions ? ;1320 41 672 740 6395 15410 577;Why not ? ;1320 77 577;0.0050907984780403925;1;3
Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt ? ;804 139 4 33 0 15 0 315 5013 554;Why are no-smoking areas not enforced ? ;1320 41 9521 425 77 4638 577;Why ? ;1320 577;2.1600603046740656e-05;1;3
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we to which adopt rules we . ;27 28 35 8257 31 318 37 15 1457 1905 318 26;6.1068019285736145e-09;1;3
Frau Lynne , Sie haben völlig recht , und ich werde prüfen , ob all dies wirklich so ist . ;617 1920 14 394 95 1195 4849 14 20 210 1165 2644 14 1469 3431 302 1921 208 7 25;Mrs Lynne , you are quite right and I shall check whether this has actually not been done . ;2185 14283 20 448 41 120 871 53 117 331 3293 1142 124 76 2004 77 78 460 26;Mrs Lynne , you have quite and I will consider whether all that really is so . ;2185 14283 20 448 113 120 53 117 125 109 1142 223 31 3346 28 1097 26;8.008629912784323e-09;1;3
Frau Präsidentin ! Frau Díez González und ich hatten einige Anfragen zu bestimmten , in einer spanischen Zeitung wiedergegebenen Stellungnahmen der Vizepräsidentin , Frau de Palacio , gestellt . ;617 618 58 617 0 7462 20 210 140 146 298 28 4186 14 4 456 1560 10790 0 5104 5 4418 14 617 1170 6648 14 444 25;Madam President , Mrs Díez González and I had tabled questions on certain opinions of the Vice-President , Mrs de Palacio , which appeared in a Spanish newspaper . ;635 58 20 2185 4838 4839 53 117 442 63 312 82 394 3793 12 4 4133 20 2185 6287 6097 20 15 2554 3 35 1539 8723 26;Madam President , González and I have had some Questions Nos on certain comments on which newspaper Spanish of the Vice-President , Mrs de Palacio , . ;635 58 20 4839 53 117 113 442 149 5640 2146 82 394 1334 82 15 8723 1539 12 4 4133 20 2185 6287 6097 20 26;8.761560543324317e-17;1;3
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because the not the case . ;117 708 6947 124 49 481 4 77 4 922 26;6.54413887701221e-07;1;3
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;, Medina Ortega we will the look into it . ;20 10590 10591 318 125 4 690 847 86 26;0.0021762173170338153;1;4
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must , you say that I situation for something do ;117 347 20 448 471 31 117 69 61 2472 580;2.4187798847665264e-10;3;3
Wir werden das aber sehr genau prüfen , damit alles seine Richtigkeit hat . ;129 115 15 383 510 3585 2644 14 1232 406 164 5962 120 25;We shall therefore look into it properly to ensure that everything is as it should be . ;40 331 29 690 847 86 5183 37 770 31 2046 28 21 86 33 8 26;We will see so that ;40 125 1351 1097 31;1.5287648691652438e-09;2;3
Die heutige Entscheidung gegen eine Verlängerung des Embargos birgt angesichts der dortigen Lage eine sehr große Gefahr . ;37 3789 809 280 211 3525 50 5472 1575 1600 5 11973 2721 211 510 580 1606 25;Today s decision not to renew the embargo is extremely dangerous considering the situation there . ;1489 24 49 77 37 13854 4 5055 28 475 1453 5353 4 69 672 26;The current decision against extension of the embargo carries ;226 1779 49 177 5122 12 4 5055 6368;3.445431961235053e-08;2;1
Wie bereits festgestellt wurde , ist die Lage in Indonesien äußerst instabil . ;282 260 2853 412 14 7 16 2721 4 2990 1147 18390 25;As people have said , the situation there is extremely volatile . ;292 420 113 532 20 4 69 672 28 475 28597 26;As is the situation in Indonesia fragile . ;292 28 4 69 3 2772 15780 26;4.552569808038547e-05;1;2
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even one of . ;27 28 976 413 12 26;0.00010767411614586109;1;4
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know not . ;40 335 77 26;0.0039015619090025373;1;2
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung , wie er nach Artikel 110 der Geschäftsordnung am Donnerstag , dem 13 . Januar von der Konferenz der Präsidenten festgelegt wurde . ;2212 5 1002 3317 16 242 50 3606 2637 5 1002 14 420 700 147 453 12021 5 755 721 1672 14 61 2735 25 2448 46 5 1123 5 3258 3338 412 25;The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure . ;226 1260 3063 28 4 6926 12 4 3149 4924 12 4 1035 1001 21 3285 890 10 4 474 12 6761 242 170 1290 12 2541 4368 3170 37 1614 11365 12 4 771 12 772 26;The item is examination of the final draft of Article 110 of the Rules of Procedure on place on Thursday , 13 . January by of the set Conference Presidents . ;226 3063 28 3201 12 4 3149 1035 12 454 11365 12 4 771 12 772 82 856 82 1644 20 2541 26 4368 10 12 4 115 474 6761 26;5.6673262389610585e-18;1;2
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;Wednesday ;5460;0.16129032258064516;1;1
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group of Party group statement Commission s requested their strategic objectives for coming five years Commission . ;226 234 12 827 596 571 227 24 4412 111 1890 1473 61 3231 396 397 227 26;3.348817303380393e-17;1;3
In diesem Sinne erinnere ich an die Entschließung vom 15 . September , in der empfohlen wurde , den Vorschlag in der kürzestmöglichen Frist vorzulegen . ;437 137 472 6926 210 113 16 1535 743 299 25 9041 14 4 5 5828 412 14 33 233 4 5 0 1507 2102 25;To this end , I would like to remind you of the resolution of 15 September , which recommended that the proposal be presented as soon as possible . ;1262 124 349 20 117 427 118 37 1882 448 12 4 1065 12 315 7695 20 15 2132 31 4 240 8 239 21 2049 21 209 26;In this , I remind resolution 15 . September , recommends forward the in proposal to proposal time . ;451 124 20 117 1882 1065 315 26 7695 20 6503 1885 4 3 240 37 240 398 26;9.746380010187514e-12;1;3
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The of its President is the ;226 12 170 58 28 4;4.002441398322108e-06;2;2
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;I therefore ask Madam President you , Commission and then vote . ;117 29 708 635 58 448 20 227 53 330 1181 26;1.7969846186117437e-10;1;2
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause of the PSE Group ) ;900 901 12 4 1642 234 902;0.026424508278041277;1;3
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;This , I not it always that is represented . ;162 20 117 77 86 768 31 28 4262 26;1.3136394660450962e-08;1;2
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;The colleague Hänsch present . ;226 1436 5459 153 26;0.0002835470254083116;1;3
Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt . ;129 95 4 5 1123 5 3258 211 7450 619 2325 25;In the Conference of Presidents , we had an in-depth discussion . ;451 4 474 12 6761 20 318 442 13 5830 1442 26;We have the . Conference Presidents debate . ;40 113 4 26 474 6761 269 26;7.661900917094941e-07;1;3
Nur Ihre Fraktion hat das vertreten , was Sie jetzt sagen . ;2329 1890 1011 120 15 1641 14 184 394 949 436 25;Your Group was alone in advocating what you are saying now . ;1951 234 834 1144 3 4427 467 448 41 3537 362 26;Only group has represent you say . ;2199 596 76 68 448 471 26;3.5237299902857952e-06;1;3
Wir haben dann abgestimmt . ;129 95 569 6900 25;We then put it to a vote . ;40 330 348 86 37 35 1181 26;We have voted on . ;40 113 3242 82 26;0.012884691718197868;1;3
Es gab eine Abstimmung zu diesem Punkt . ;416 3271 211 1190 28 137 1065 25;There was a vote on this matter . ;1363 834 35 1181 82 124 1077 26;It were a vote ;27 114 35 1181;3.524333184676135e-05;2;5
Das heißt , alle Fraktionen , mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig , nur Ihre Fraktion war der Meinung , so zu verfahren , wie Sie es hier vorgeschlagen haben . ;157 1819 14 706 2277 14 131 4723 5 0 625 383 16 87 529 80 1011 625 819 180 2930 14 8 1890 1011 818 5 1057 14 208 28 1032 14 420 394 27 531 382 95 25;This means that all the Groups with the exception of the non-attached Members - but , of course , they are not a Group - were in agreement only your Group thought that we should proceed as you have proposed here . ;162 11 31 223 4 6352 46 4 3952 12 4 21543 445 638 322 20 12 931 20 108 41 77 35 234 638 114 3 14 7 1234 234 865 31 318 33 4497 21 448 113 393 712 26;The you mean groups all - but are no group - agreed that were your group was the believe you . ;226 448 2570 1054 223 638 322 41 740 596 638 2715 31 114 1234 596 834 4 208 448 26;1.6473630753917844e-22;1;2
Jetzt möchte ich zur Sache selbst etwas sagen . ;1338 108 210 222 1964 666 558 436 25;I should now like to comment on the issue itself . ;117 33 362 118 37 1487 82 4 216 884 26;I Now would like itself said something . ;117 2537 427 118 884 532 2472 26;7.264065553231964e-05;1;3
Ein solches Dokument gibt es nicht ! ;1 6537 2304 1385 27 315 58;There is no such document ! ;1363 28 740 972 2178 713;A document ! ;1999 2178 713;0.0003515565508427094;1;1
Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen . ;37 219 139 15 158 32 15 105 1360 73 5150 2464 25;The Commission will present its programme for the year 2000 in February . ;226 227 125 153 170 163 61 4 1013 1340 3 2307 26;The Commission the present programme 2000 February . ;226 227 4 153 163 1340 2307 26;5.45822260319664e-07;1;3
Wir haben dem zugestimmt . ;129 95 61 5500 25;We have agreed to this . ;40 113 2715 37 124 26;We have agreed . ;40 113 2715 26;0.0028734920119019617;1;2
( Beifall von der PPE-DE-Fraktion ) ;884 885 46 5 11305 886;( Applause from the PPE-DE Group ) ;900 901 186 4 3686 234 902;( Applause PPE-DE Group ) ;900 901 3686 234 902;0.04359864825044128;1;3
Ich schlage vor , daß wir über den Antrag der Sozialdemokratischen Fraktion , die Erklärung der Kommission über ihre strategischen Ziele wieder auf die Tagesordnung zu setzen , abstimmen . ;107 3973 96 14 30 42 153 33 1667 5 2120 1011 14 16 896 5 219 153 807 2068 1136 91 9 16 1002 28 339 14 4440 25;I propose that we vote on the request of the Group of the Party of European Socialists that the Commission statement on its strategic objectives should be reinstated . ;117 2879 31 318 1181 82 4 1833 12 4 234 12 4 827 12 193 4925 31 4 227 571 82 170 1890 1473 33 8 9237 26;I propose that we the Socialist request Group , Commission statement on its strategic objectives voting on . ;117 2879 31 318 4 1540 1833 234 20 227 571 82 170 1890 1473 2267 82 26;1.8308925225272545e-16;1;2
( Das Parlament lehnt den Antrag ab . ) Die Präsidentin . ;884 157 63 4833 33 1667 922 25 886 37 618 25;( Parliament rejected the request ) President . ;900 64 828 4 1833 902 58 26;( Parliament rejected request . ) President . ;900 64 828 1833 26 902 58 26;0.001972581937791914;1;1
Zum Mittwoch liegt mir noch ein weiterer Antrag betreffend die mündliche Anfrage über die Kapitalsteuer vor . ;1099 5936 644 940 613 67 3892 1667 1685 16 7057 2552 153 16 0 96 25;Still on the subject of Wednesday s sitting , I have another proposal regarding the oral question on capital tax . ;7414 82 4 2254 12 5460 24 698 20 117 113 1941 240 678 4 5928 213 82 652 601 26;Wednesday is a further request on oral question on . ;5460 28 35 2180 1833 82 5928 213 82 26;1.6488757758854966e-08;1;4
Die PPE/DE-Fraktion beantragt , diesen Punkt von der Tagesordnung abzusetzen . ;37 0 6139 14 313 1065 46 5 1002 0 25;The PPE-DE Group is requesting that this item be taken off the agenda . ;226 3686 234 28 5396 31 124 3063 8 855 1005 4 1001 26;The requested Point ;226 4412 4358;1.9847818379695788e-07;2;4
Es gibt auch Beschlüsse gegen eine solche Steuer . ;416 1385 188 363 280 211 866 586 25;Decisions have also been adopted against a tax of this kind . ;14388 113 342 78 1376 177 35 601 12 124 2563 26;It are be such decisions object tax . ;27 41 8 972 441 7291 601 26;3.0026960257192804e-06;1;1
Vielen Dank , Herr Poettering . ;924 925 14 53 848 25;Thank you , Mr Poettering . ;447 448 20 47 867 26;Thank you Mr Poettering . ;447 448 47 867 26;0.013359041270888583;1;5
Frau Präsidentin , ich möchte zunächst darauf hinweisen , daß das , was Herr Poettering da sagt , nicht ganz logisch ist . ;617 618 14 210 108 2093 561 1249 14 30 15 14 184 53 848 104 4421 14 315 109 6445 7 25;Madam President , I would firstly like to point out Mr Poettering s lack of logic . ;635 58 20 117 427 1399 118 37 1089 1073 47 867 24 2520 12 2718 26;Madam President I would like begin by thanking point out that the Mr Poettering says not logical is ;635 58 117 427 118 824 10 4921 1089 1073 31 4 47 867 6551 77 4511 28;1.3402316469812773e-10;2;3
Zum einen belehrt er die Sozialdemokratische Fraktion , weil diese eine ganz klare und eindeutige Entscheidung der Konferenz der Präsidenten in Frage stellt . Und nun tut er genau dasselbe . ;1099 232 0 700 16 17880 1011 14 469 127 211 109 3076 20 2264 809 5 1123 5 3258 4 202 2762 25 972 349 7512 700 3585 4049 25;He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents , and now he is doing just the same . ;703 76 340 78 0 37 4 234 12 4 827 12 193 4925 481 108 3731 424 82 35 49 855 3 35 1518 72 3188 242 4 474 12 6761 20 53 362 711 28 951 340 4 962 26;quantities he exchanged the Socialist Group because very clear and clear decision the challenge Conference Presidents . now he does exactly the same . ;8570 711 3081 4 1540 234 481 372 72 53 72 49 4 302 474 6761 26 362 711 456 1140 4 962 26;4.347621876107784e-16;1;2
Wir haben diskutiert , wir waren uns einig , nur die EVP-Fraktion und die Liberalen nicht . ;129 95 933 14 42 819 285 2930 14 8 16 7303 20 16 1592 315 25;We discussed that matter and we were unanimous , with the exception of the PPE and ELDR Groups . ;40 945 31 1077 53 318 114 5978 20 46 4 3952 12 4 6514 53 5924 6352 26;We have discussed we agree the PPE Group and Liberals . ;40 113 945 318 583 4 6514 234 53 5896 26;1.5433583930525655e-07;1;3
Wir stimmen jetzt über den Antrag der PPE/DE-Fraktion ab , die mündliche Anfrage über die Kapitalsteuer von der Tagesordnung abzusetzen . ;129 2276 949 153 33 1667 5 0 922 14 16 7057 2552 153 16 0 46 5 1002 0 25;We shall proceed to vote on the PPE-DE Group s request that the oral question regarding the capital tax be withdrawn from the agenda . ;40 331 4497 37 1181 82 4 3686 234 24 1833 31 4 5928 213 678 4 652 601 8 2411 186 4 1001 26;We now the request oral return flights on by order the question on business . ;40 362 4 1833 5928 1083 6365 82 10 735 4 213 82 1160 26;2.7204813703757452e-11;1;5
Frau Präsidentin , ich möchte Herrn Poettering für das Rühren der Werbetrommel zugunsten dieser Aussprache danken . ;617 618 14 210 108 143 848 32 15 0 5 0 2664 82 262 448 25;Madam President , I would like to thank Mr Poettering for advertising this debate . ;635 58 20 117 427 118 37 449 47 867 61 6581 124 269 26;Madam President I would like Poettering Mr for the of this debate . ;635 58 117 427 118 867 47 61 4 12 124 269 26;3.411975117421359e-07;1;3
Vielen Dank . ;924 925 25;Thank you very much . ;447 448 372 781 26;Thank you . ;447 448 26;0.38684118226710684;1;1
Ich habe dafür gestimmt . ;107 284 938 2908 25;My vote was in favour . ;1933 1181 834 3 1015 26;I in favour . ;117 3 1015 26;0.016825555627970296;1;3
In der Tat , wenn man die beiden Mitglieder , die sich gemeldet haben hinzuzählt , dann ergibt sich als Ergebnis . . . ;437 5 88 14 278 201 16 1116 1117 14 16 180 4873 95 0 14 569 5162 180 354 1164 25 25 25;Indeed , if we add the two Members who have declared themselves , then the result of the vote would be . . . . ;1485 20 121 318 2310 4 386 445 287 113 6297 2941 20 330 4 1291 12 4 1181 427 8 26 26 26 26;In fact , if two Members ;451 531 20 121 386 445;5.488216805004123e-12;2;2
Frau Präsidentin ! Die Präsidentschaft hat das Ergebnis der Abstimmung verkündet . ;617 618 58 37 132 120 15 1164 5 1190 11608 25;Madam President , the Presidency has already declared the result of the vote . ;635 58 20 4 159 76 271 6297 4 1291 12 4 1181 26;Madam President , Presidency has the result of vote cease-fires . ;635 58 20 159 76 4 1291 12 1181 36348 26;0.0003748111770579036;1;1
Dazu kam es nicht . ;965 4517 27 315 25;That did not happen . ;1014 823 77 2176 26;Without . ;2889 26;0.010134404077805293;1;1
Ich würde es begrüßen , wenn ich zum Abschluß dieses Geschäftspunktes die Möglichkeit hätte , im Namen meiner Fraktion eine Erklärung zur Abstimmung abzugeben . ;107 594 27 29 14 278 210 587 1009 207 0 16 2327 608 14 73 1676 1712 1011 211 896 222 1190 9905 25;I would appreciate it if , on the close of this item of business , I might be allowed to give an explanation of vote on behalf of my Group . ;117 427 2001 86 121 20 82 4 4602 12 124 3063 12 1160 20 117 673 8 1720 37 477 13 2729 12 1181 82 1641 12 844 234 26;I would welcome if I this would have the on behalf my group of a declaration vote . ;117 427 530 121 117 124 427 113 4 82 1641 844 596 12 35 6509 1181 26;1.0308743628779049e-10;1;3
Das ist eine wichtige Angelegenheit . ;157 7 211 1181 557 25;This is an important matter . ;162 28 13 183 1077 26;This is a important matter . ;162 28 35 183 1077 26;0.0036834230365228077;1;1
Sie haben mich auch nicht aufgerufen . ;394 95 1290 188 315 2963 25;You did not call me either . ;376 823 77 1957 766 1249 26;They have also me ;851 113 342 766;0.0007177556581334091;2;3
