Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of session ;8645 12 1607;0.2786046511627907;1;1
Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft ? ;9148 412 16 17723 4 137 7257 872 422 5400 315 67 6250 1310 5576 554;Why has no air quality test been done on this particular building since we were elected ? ;1320 76 740 2191 1868 6977 78 460 82 124 438 44 107 318 114 864 577;Why the not air quality this building reviewed since election time ? ;1320 4 77 2191 1868 124 44 2457 107 4722 398 577;7.744342996175535e-08;1;2
Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten ? ;9148 7 5 0 872 161 315 67 6250 1310 0 554;Why has there been no Health and Safety Committee meeting since 1998 ? ;1320 76 672 78 740 4435 53 9781 1046 1290 107 166 577;Why is has been 1998 for not a single time ? ;1320 28 76 78 166 61 77 35 1693 398 577;2.048397852383623e-06;1;5
Warum finden keine Brandschutzbelehrungen statt ? ;804 214 80 0 934 554;Why are there no fire instructions ? ;1320 41 672 740 6395 15410 577;Why no ? ;1320 740 577;0.008407435925040268;1;2
Warum wurde nach meinem Unfall nichts unternommen , um die Treppen sicherer zu machen ? ;804 412 147 849 12990 2482 2881 14 390 16 0 1943 28 397 554;Why have the staircases not been improved since my accident ? ;1320 113 4 28896 77 78 3174 107 844 3540 577;Why my accident nothing to the make safer ? ;1320 844 3540 1649 37 4 119 12365 577;1.0277610261349378e-07;1;1
Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt ? ;804 139 4 33 0 15 0 315 5013 554;Why are no-smoking areas not enforced ? ;1320 41 9521 425 77 4638 577;Why the not ? ;1320 4 77 577;6.920399425567639e-06;1;2
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we adopt rules we . ;27 28 35 8257 31 318 1457 1905 318 26;5.7944771872502735e-09;1;3
Frau Lynne , Sie haben völlig recht , und ich werde prüfen , ob all dies wirklich so ist . ;617 1920 14 394 95 1195 4849 14 20 210 1165 2644 14 1469 3431 302 1921 208 7 25;Mrs Lynne , you are quite right and I shall check whether this has actually not been done . ;2185 14283 20 448 41 120 871 53 117 331 3293 1142 124 76 2004 77 78 460 26;Mrs Lynne , you have quite and I will consider whether all really . ;2185 14283 20 448 113 120 53 117 125 109 1142 223 3346 26;4.01308875222813e-10;1;4
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because not the . ;117 708 6947 124 49 481 77 4 26;2.2002551428744198e-07;1;4
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;Mr Dear , we ;47 16443 20 318;3.9704331265635736e-05;2;3
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must but you that I situation something . ;117 347 322 448 31 117 69 2472 26;1.3086166437912067e-07;1;4
Wir werden das aber sehr genau prüfen , damit alles seine Richtigkeit hat . ;129 115 15 383 510 3585 2644 14 1232 406 164 5962 120 25;We shall therefore look into it properly to ensure that everything is as it should be . ;40 331 29 690 847 86 5183 37 770 31 2046 28 21 86 33 8 26;We will see so that everything its . ;40 125 1351 1097 31 2046 170 26;3.169433876241404e-09;1;3
Das Parlament sollte , da dies dem Wunsch der großen Mehrheit entspricht , eine entsprechende Botschaft senden . ;157 63 694 14 104 302 61 2208 5 1015 986 2522 14 211 1397 3773 5259 25;So Parliament should send a message , since that is the wish of the vast majority . ;724 64 33 3976 35 3524 20 107 31 28 4 92 12 4 3246 985 26;The Parliament should because this equivalent to majority message a message . ;226 64 33 481 124 2379 37 985 3524 35 3524 26;3.420037209818659e-10;1;2
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even danger . ;27 28 976 1984 26;9.318376874927755e-05;1;5
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know not what happening . ;40 335 77 467 3158 26;0.011003507384663403;1;3
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;Wednesday ;5460;0.16129032258064516;1;1
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group group Party Commission a declaration on their strategic objectives for next five years and Commission agenda . ;226 234 596 827 227 35 6509 82 111 1890 1473 61 1260 396 397 53 227 1001 26;3.52797326888146e-14;1;2
Ich bitte den Antragsteller , Herrn Barón Crespo , seinen Antrag zu begründen , falls er dies wünscht . ;107 578 33 10120 14 143 7589 7590 14 197 1667 28 1669 14 990 700 302 5537 25;I would like Mr Barón Crespo , who made the request , to speak to propose it . That is , if he so wishes , of course . ;117 427 118 47 6990 6991 20 287 228 4 1833 20 37 1640 37 2879 86 26 1014 28 20 121 711 1097 1639 20 12 931 26;I ask the Barón Crespo applicants explain Mr whom if wishes . ;117 708 4 6990 6991 5506 487 47 1337 121 1639 26;2.5170122375018106e-09;1;3
Somit hatte die Kommission bereits genügend Zeit , ihr Programm zu erarbeiten , und wir , um es kennenlernen und den Bürgern erklären zu können . ;2818 2441 16 219 260 5146 291 14 1401 158 28 4861 14 20 42 14 390 27 0 20 33 319 1121 28 311 25;There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens . ;1363 76 29 78 2917 398 61 4 227 37 1528 170 163 53 61 295 37 666 719 46 86 53 487 86 37 154 333 26;therefore the Commission to already time their sufficient programme and we to and citizens to . ;29 4 227 37 271 398 111 1758 163 53 318 37 53 333 37 26;4.154622359704543e-12;1;3
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The words of her President is ;226 1981 12 356 58 28;2.777987381102861e-06;2;2
Da die Kommission durch die Vizepräsidentin , Frau de Palacio , vertreten ist , halte ich es für zweckmäßig , vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms , so wie es vereinbart war , zu erfahren . ) , oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage , wie einige offenbar vorgeben . ;3729 16 219 189 16 4418 14 617 1170 6648 14 1641 7 14 1115 210 27 32 7326 14 96 5 1190 16 697 5 219 331 93 2866 222 4466 50 1821 14 208 420 27 10325 818 14 28 3583 25 886 14 69 15 63 7 222 242 207 1821 315 4 5 2721 14 420 146 4006 14923 25;Given that the Commission is represented by Vice-President de Palacio , I believe that , before voting , it would help if the Commission could let us know how ready it is to present this programme , as agreed . Alternatively , Parliament is not ready to examine this programme , as some appear to be suggesting . ;4196 31 4 227 28 4262 10 4133 6287 6097 20 117 208 31 20 101 2267 20 86 427 1903 121 4 227 461 1749 295 335 431 700 86 28 37 153 124 163 20 21 2715 26 13204 20 64 28 77 700 37 2468 124 163 20 21 149 4179 37 8 4536 26;As the Commission by Vice-President , Mrs de Palacio , is I believe it appropriate vote Commission position know to rest ) programme or the Parliament is examining this programme some able obviously . ;292 4 227 10 4133 20 2185 6287 6097 20 28 117 208 86 1828 1181 227 707 335 37 1964 902 163 66 4 64 28 1490 124 163 149 79 2420 26;4.687776020216456e-32;1;3
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;therefore ask Madam President you , Commission and now that vote for this . ;29 708 635 58 448 20 227 53 362 31 1181 61 124 26;2.2596268608161664e-12;1;2
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause the PSE Group ) ;900 901 4 1642 234 902;0.21936199722607488;1;1
Herr Kollege Barón Crespo , Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein . ;53 1460 7589 7590 14 394 85 721 1092 1672 4 5 1123 5 3258 315 3483 1035 25;Mr Barón Crespo , you were unable to attend the Conference of Presidents last Thursday . ;47 6990 6991 20 448 114 2633 37 3840 4 474 12 6761 1416 1644 26;Mr colleague Barón Crespo you last Chamber Thursday ;47 1436 6990 6991 448 1416 3102 1644;1.7740337138039828e-12;3;3
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;The not that . ;226 77 31 26;3.676915067948588e-08;1;3
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;The colleague Hänsch has . ;226 1436 5459 76 26;0.0014635738663908516;1;3
Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt . ;129 95 4 5 1123 5 3258 211 7450 619 2325 25;In the Conference of Presidents , we had an in-depth discussion . ;451 4 474 12 6761 20 318 442 13 5830 1442 26;We have ;40 113;8.247739779440907e-07;2;2
Nur Ihre Fraktion hat das vertreten , was Sie jetzt sagen . ;2329 1890 1011 120 15 1641 14 184 394 949 436 25;Your Group was alone in advocating what you are saying now . ;1951 234 834 1144 3 4427 467 448 41 3537 362 26;Only your Group has represent what you . ;2199 1234 234 76 68 467 448 26;9.589519023332247e-07;1;4
Es gab eine Abstimmung zu diesem Punkt . ;416 3271 211 1190 28 137 1065 25;There was a vote on this matter . ;1363 834 35 1181 82 124 1077 26;It were a vote this . ;27 114 35 1181 124 26;0.0009564488131374782;1;2
Das heißt , alle Fraktionen , mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig , nur Ihre Fraktion war der Meinung , so zu verfahren , wie Sie es hier vorgeschlagen haben . ;157 1819 14 706 2277 14 131 4723 5 0 625 383 16 87 529 80 1011 625 819 180 2930 14 8 1890 1011 818 5 1057 14 208 28 1032 14 420 394 27 531 382 95 25;This means that all the Groups with the exception of the non-attached Members - but , of course , they are not a Group - were in agreement only your Group thought that we should proceed as you have proposed here . ;162 11 31 223 4 6352 46 4 3952 12 4 21543 445 638 322 20 12 931 20 108 41 77 35 234 638 114 3 14 7 1234 234 865 31 318 33 4497 21 448 113 393 712 26;The means , political groups , they are no group - your were thing that put but group agreed was believe to you proposed . ;226 11 20 668 1054 20 108 41 740 596 638 1234 114 1883 31 348 322 596 2715 834 208 37 448 393 26;5.969660991038799e-21;1;3
Alle anderen waren anderer Meinung . ;2687 1242 819 856 1057 25;All of the others were of a different opinion . ;918 12 4 1500 114 12 35 932 492 26;All were believe . ;918 114 208 26;0.0020995548070583217;1;2
Das war der Beschluß . ;157 818 5 45 25;That was the decision . ;1014 834 4 49 26;The was the . ;226 834 4 26;0.004062351874618207;1;2
Jetzt möchte ich zur Sache selbst etwas sagen . ;1338 108 210 222 1964 666 558 436 25;I should now like to comment on the issue itself . ;117 33 362 118 37 1487 82 4 216 884 26;Now would like matter this . ;2537 427 118 1077 124 26;6.9587106616254885e-06;1;4
Aber wir sind auch der Meinung , daß wir eine Debatte über diese Strategie der Kommission in einem geordneten Verfahren führen müssen , nicht nur aufgrund einer mündlichen Erklärung hier im Europäischen Parlament , sondern auch aufgrund eines Dokumentes , das in der Kommission beschlossen ist und dieses Programm für fünf Jahre beschreibt . ;1559 42 87 188 5 1057 14 30 42 211 619 153 127 2983 5 219 4 48 0 1319 269 317 14 315 8 1075 456 6455 896 531 73 62 63 14 326 188 1075 11 0 14 15 4 5 219 431 7 20 207 158 32 384 385 13465 25;We believe , however , that the Commission s strategic plan needs to be debated within a proper procedural framework , not only on the basis of an oral statement here in the European Parliament , but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period . ;40 208 20 693 20 31 4 227 24 1890 189 298 37 8 3866 561 35 1118 7751 562 20 77 7 82 4 264 12 13 5928 571 712 3 4 193 64 20 322 342 82 4 264 12 35 2178 15 28 1376 3 4 227 53 15 3402 124 163 96 4 1909 165 26;But we are also the that we a debate on this strategy of Commission in a not only because a declaration Commission here there European Parliament decided in and five this programme years ;1846 318 41 342 4 31 318 35 269 82 124 1272 12 227 3 35 77 7 481 35 6509 227 712 672 193 64 982 3 53 396 124 163 397;1.7839099602753496e-29;2;2
Ein solches Dokument gibt es nicht ! ;1 6537 2304 1385 27 315 58;There is no such document ! ;1363 28 740 972 2178 713;A document not . ;1999 2178 77 26;0.0007834518915470097;1;2
Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen . ;37 219 139 15 158 32 15 105 1360 73 5150 2464 25;The Commission will present its programme for the year 2000 in February . ;226 227 125 153 170 163 61 4 1013 1340 3 2307 26;The Commission the ;226 227 4;2.6569391344495334e-07;2;3
Wir haben dem zugestimmt . ;129 95 61 5500 25;We have agreed to this . ;40 113 2715 37 124 26;We have agreed . ;40 113 2715 26;0.008607135663160835;1;3
Wir wollen ja an sich keinen Streit mit der Kommission , sondern wir sind der Meinung , wenn es eben geht , müssen Kommission und Parlament einen gemeinsamen Weg gehen . ;129 90 529 113 180 1174 2128 131 5 219 14 326 42 87 5 1057 14 278 27 1229 417 14 317 219 20 63 232 267 1037 692 25;After all , we do not wish to quarrel with the Commission if at all possible , we believe that the Commission and Parliament need to tread the same path . ;1629 223 20 318 580 77 92 37 22057 46 4 227 121 242 223 209 20 318 208 31 4 227 53 64 789 37 15435 4 962 4338 26;We want not with but we the Commission are believe if a Commission Parliament must and single way . ;40 738 77 46 322 318 4 227 41 208 121 35 227 64 347 53 1693 486 26;2.715366175670593e-17;1;4
Aber wir als Parlament sind auch der Kontrolleur der Kommission . Und nicht alles , was von der Kommission kommt , muß unsere Meinung sein . ;1559 42 354 63 87 188 5 0 5 219 25 972 315 406 14 184 46 5 219 1078 14 334 151 1057 1035 25;However , we in Parliament also have a supervisory role with regard to the Commission and we do not have to agree with everything which comes out of the Commission . ;843 20 318 3 64 342 113 35 5377 157 46 345 37 4 227 53 318 580 77 113 37 583 46 2046 15 1076 1073 12 4 227 26;But we as Parliament are also Commission . what a the Commission is our opinion . ;1846 318 21 64 41 342 227 26 467 35 4 227 28 154 492 26;6.288962395486337e-13;1;3
Ich möchte , daß wir uns auf eine Debatte über das Fünfjahresprogramm in den Fraktionen vernünftig vorbereiten können . ;107 108 14 30 42 285 9 211 619 153 15 0 4 33 2277 2697 9202 311 25;I should like us to be able to do a reasonable amount of preparation for the debate on the five-year programme in our Groups . ;117 33 118 295 37 8 79 37 580 35 2509 169 12 4942 61 4 269 82 4 1909 163 3 154 6352 26;I would like that we debate on the in the political groups be can wisely ;117 427 118 31 318 269 82 4 3 4 668 1054 8 6 14712;5.271132364673097e-10;2;3
Es ist also auch ein vernünftiger sachlicher Zusammenhang , der uns rät , die Debatte über beide Programme gemeinsam zu führen . ;416 7 720 188 67 6435 0 931 14 5 285 0 14 16 619 153 2769 1342 2731 28 269 25;The fact that the subjects are connected also suggests that we should hold the debate on both programmes together . ;226 531 31 4 994 41 4207 342 1189 31 318 33 2926 4 269 82 593 1325 991 26;It is therefore a sensible link debate us , on both programmes together . ;27 28 29 35 1806 1206 269 295 20 82 593 1325 991 26;4.127614409106274e-11;1;2
