Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.07107778819119025;1;1
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we we keep adopt rules . ;27 28 35 8257 31 318 318 1585 1457 1905 26;3.958696994988889e-10;1;2
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because the . ;117 708 6947 124 49 481 4 26;2.873006378765037e-06;1;2
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;Dear , we will examine . ;16443 20 318 125 2468 26;0.0005986899848743571;1;2
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must tell you that I situation consider something . ;117 347 1751 448 31 117 69 109 2472 26;1.2088992434843732e-08;1;1
Wie bereits festgestellt wurde , ist die Lage in Indonesien äußerst instabil . ;282 260 2853 412 14 7 16 2721 4 2990 1147 18390 25;As people have said , the situation there is extremely volatile . ;292 420 113 532 20 4 69 672 28 475 28597 26;As was already is the situation Indonesia fragile . ;292 834 271 28 4 69 2772 15780 26;7.065174871274375e-06;1;1
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even risk . ;27 28 976 4073 26;0.00018715596197622236;1;3
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know not what happening . ;40 335 77 467 3158 26;0.01185854540178405;1;2
Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen . ;1041 1065 7 1101 315 32 16 4916 721 1672 1703 25;In any event , this question is not presently included among the requests for topical and urgent debate on Thursday . ;451 452 453 20 124 213 28 77 3122 1945 1053 4 4757 61 4557 53 407 269 82 1644 26;This point is will for urgent debate on provided on Thursday . ;162 1089 28 125 61 407 269 82 134 82 1644 26;5.858076118722607e-09;1;2
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung , wie er nach Artikel 110 der Geschäftsordnung am Donnerstag , dem 13 . Januar von der Konferenz der Präsidenten festgelegt wurde . ;2212 5 1002 3317 16 242 50 3606 2637 5 1002 14 420 700 147 453 12021 5 755 721 1672 14 61 2735 25 2448 46 5 1123 5 3258 3338 412 25;The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure . ;226 1260 3063 28 4 6926 12 4 3149 4924 12 4 1035 1001 21 3285 890 10 4 474 12 6761 242 170 1290 12 2541 4368 3170 37 1614 11365 12 4 771 12 772 26;The next item is the of the draft agenda such as he under Article 110 of the Rules of Procedure on place on Thursday , 13 January set Conference Presidents . ;226 1260 3063 28 4 12 4 1035 1001 972 21 711 1007 454 11365 12 4 771 12 772 82 856 82 1644 20 2541 4368 115 474 6761 26;9.877796323249817e-17;1;1
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;Wednesday ;5460;0.16129032258064516;1;1
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group Group Party requested Commission agenda declaration their and Commission strategic objectives for coming five years in the agenda . ;226 234 234 827 4412 227 1001 6509 111 53 227 1890 1473 61 3231 396 397 3 4 1001 26;9.694379273733632e-16;1;2
Somit hatte die Kommission bereits genügend Zeit , ihr Programm zu erarbeiten , und wir , um es kennenlernen und den Bürgern erklären zu können . ;2818 2441 16 219 260 5146 291 14 1401 158 28 4861 14 20 42 14 390 27 0 20 33 319 1121 28 311 25;There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens . ;1363 76 29 78 2917 398 61 4 227 37 1528 170 163 53 61 295 37 666 719 46 86 53 487 86 37 154 333 26;therefore the Commission draw enough time programme and we to it and citizens . ;29 4 227 409 2917 398 163 53 318 37 86 53 333 26;5.954023086458722e-13;1;2
In diesem Sinne erinnere ich an die Entschließung vom 15 . September , in der empfohlen wurde , den Vorschlag in der kürzestmöglichen Frist vorzulegen . ;437 137 472 6926 210 113 16 1535 743 299 25 9041 14 4 5 5828 412 14 33 233 4 5 0 1507 2102 25;To this end , I would like to remind you of the resolution of 15 September , which recommended that the proposal be presented as soon as possible . ;1262 124 349 20 117 427 118 37 1882 448 12 4 1065 12 315 7695 20 15 2132 31 4 240 8 239 21 2049 21 209 26;In this , I remind the resolution of 15 September , recommends proposal in timeframe . ;451 124 20 117 1882 4 1065 12 315 7695 20 6503 240 3 1230 26;1.9196594184351918e-11;1;2
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The next the what President its is in . able . ;226 1260 4 467 58 170 28 3 26 79 26;3.311173492853579e-07;1;1
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;I therefore ask Madam President you , the Commission now and then vote . ;117 29 708 635 58 448 20 4 227 362 53 330 1181 26;1.6469263461537423e-13;1;2
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause the PSE Group ) ;900 901 4 1642 234 902;0.08255412263550092;1;3
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;This interesting thing , I not always that ;162 6812 1883 20 117 77 768 31;7.274719799147613e-11;2;2
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;The colleague Hänsch ;226 1436 5459;0.0012700931323903766;2;2
Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt . ;129 95 4 5 1123 5 3258 211 7450 619 2325 25;In the Conference of Presidents , we had an in-depth discussion . ;451 4 474 12 6761 20 318 442 13 5830 1442 26;We have have Conference Presidents debate . ;40 113 113 474 6761 269 26;1.3144534253289647e-06;1;1
Nur Ihre Fraktion hat das vertreten , was Sie jetzt sagen . ;2329 1890 1011 120 15 1641 14 184 394 949 436 25;Your Group was alone in advocating what you are saying now . ;1951 234 834 1144 3 4427 467 448 41 3537 362 26;Only group your has you represented . ;2199 596 1234 76 448 4262 26;3.462843154974781e-07;1;4
Es gab eine Abstimmung zu diesem Punkt . ;416 3271 211 1190 28 137 1065 25;There was a vote on this matter . ;1363 834 35 1181 82 124 1077 26;It were a vote this . ;27 114 35 1181 124 26;0.00036290644800361703;1;2
Das heißt , alle Fraktionen , mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig , nur Ihre Fraktion war der Meinung , so zu verfahren , wie Sie es hier vorgeschlagen haben . ;157 1819 14 706 2277 14 131 4723 5 0 625 383 16 87 529 80 1011 625 819 180 2930 14 8 1890 1011 818 5 1057 14 208 28 1032 14 420 394 27 531 382 95 25;This means that all the Groups with the exception of the non-attached Members - but , of course , they are not a Group - were in agreement only your Group thought that we should proceed as you have proposed here . ;162 11 31 223 4 6352 46 4 3952 12 4 21543 445 638 322 20 12 931 20 108 41 77 35 234 638 114 3 14 7 1234 234 865 31 318 33 4497 21 448 113 393 712 26;The means that with through - that groups exception social attitude the no group - doorbells were agree group the opinions of , so you . ;226 11 31 46 751 638 31 1054 3952 2253 141 4 740 596 638 28897 114 583 596 4 3793 12 20 1097 448 26;2.3176014948193525e-21;1;2
Das war der Beschluß . ;157 818 5 45 25;That was the decision . ;1014 834 4 49 26;This was the decision . ;162 834 4 49 26;0.007371255316134629;1;1
Jetzt möchte ich zur Sache selbst etwas sagen . ;1338 108 210 222 1964 666 558 436 25;I should now like to comment on the issue itself . ;117 33 362 118 37 1487 82 4 216 884 26;Now I want itself a few words about . ;2537 117 738 884 35 1730 1981 339 26;0.0002549598355517478;1;3
Aber wir sind auch der Meinung , daß wir eine Debatte über diese Strategie der Kommission in einem geordneten Verfahren führen müssen , nicht nur aufgrund einer mündlichen Erklärung hier im Europäischen Parlament , sondern auch aufgrund eines Dokumentes , das in der Kommission beschlossen ist und dieses Programm für fünf Jahre beschreibt . ;1559 42 87 188 5 1057 14 30 42 211 619 153 127 2983 5 219 4 48 0 1319 269 317 14 315 8 1075 456 6455 896 531 73 62 63 14 326 188 1075 11 0 14 15 4 5 219 431 7 20 207 158 32 384 385 13465 25;We believe , however , that the Commission s strategic plan needs to be debated within a proper procedural framework , not only on the basis of an oral statement here in the European Parliament , but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period . ;40 208 20 693 20 31 4 227 24 1890 189 298 37 8 3866 561 35 1118 7751 562 20 77 7 82 4 264 12 13 5928 571 712 3 4 193 64 20 322 342 82 4 264 12 35 2178 15 28 1376 3 4 227 53 15 3402 124 163 96 4 1909 165 26;But we also the opinion that we Commission a debate these in a not only because oral but Declaration here is the Commission in competition of decided European Parliament is and describes this programme five years . ;1846 318 342 4 492 31 318 227 35 269 84 3 35 77 7 481 5928 322 914 712 28 4 227 3 1876 12 982 193 64 28 53 3402 124 163 396 397 26;4.061360650757641e-28;1;2
Ein solches Dokument gibt es nicht ! ;1 6537 2304 1385 27 315 58;There is no such document ! ;1363 28 740 972 2178 713;A document not ! ;1999 2178 77 713;0.002092723119145893;1;3
Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen . ;37 219 139 15 158 32 15 105 1360 73 5150 2464 25;The Commission will present its programme for the year 2000 in February . ;226 227 125 153 170 163 61 4 1013 1340 3 2307 26;The Commission will the present programme 2000 February . ;226 227 125 4 153 163 1340 2307 26;3.960495554360247e-06;1;2
Wir haben dem zugestimmt . ;129 95 61 5500 25;We have agreed to this . ;40 113 2715 37 124 26;We have agreed . ;40 113 2715 26;0.00832696635827842;1;1
Wir wollen ja an sich keinen Streit mit der Kommission , sondern wir sind der Meinung , wenn es eben geht , müssen Kommission und Parlament einen gemeinsamen Weg gehen . ;129 90 529 113 180 1174 2128 131 5 219 14 326 42 87 5 1057 14 278 27 1229 417 14 317 219 20 63 232 267 1037 692 25;After all , we do not wish to quarrel with the Commission if at all possible , we believe that the Commission and Parliament need to tread the same path . ;1629 223 20 318 580 77 92 37 22057 46 4 227 121 242 223 209 20 318 208 31 4 227 53 64 789 37 15435 4 962 4338 26;We want in any with the Commission , but we if an go the Commission Parliament must and joint way . ;40 738 3 452 46 4 227 20 322 318 121 13 423 4 227 64 347 53 1532 486 26;1.847509984683907e-14;1;1
Aber wir als Parlament sind auch der Kontrolleur der Kommission . Und nicht alles , was von der Kommission kommt , muß unsere Meinung sein . ;1559 42 354 63 87 188 5 0 5 219 25 972 315 406 14 184 46 5 219 1078 14 334 151 1057 1035 25;However , we in Parliament also have a supervisory role with regard to the Commission and we do not have to agree with everything which comes out of the Commission . ;843 20 318 3 64 342 113 35 5377 157 46 345 37 4 227 53 318 580 77 113 37 583 46 2046 15 1076 1073 12 4 227 26;But we Parliament are the of the Commission . not must this Commission it ;1846 318 64 41 4 12 4 227 26 77 347 124 227 86;9.543731813788361e-13;2;2
Es ist also auch ein vernünftiger sachlicher Zusammenhang , der uns rät , die Debatte über beide Programme gemeinsam zu führen . ;416 7 720 188 67 6435 0 931 14 5 285 0 14 16 619 153 2769 1342 2731 28 269 25;The fact that the subjects are connected also suggests that we should hold the debate on both programmes together . ;226 531 31 4 994 41 4207 342 1189 31 318 33 2926 4 269 82 593 1325 991 26;It is a sensible textile of , the ;27 28 35 1806 6595 12 20 4;2.559817275960623e-12;2;2
( Beifall von der PPE-DE-Fraktion ) ;884 885 46 5 11305 886;( Applause from the PPE-DE Group ) ;900 901 186 4 3686 234 902;( Applause by the PPE-DE Group ) ;900 901 10 4 3686 234 902;0.05882577267736859;1;3
( Das Parlament lehnt den Antrag ab . ) Die Präsidentin . ;884 157 63 4833 33 1667 922 25 886 37 618 25;( Parliament rejected the request ) President . ;900 64 828 4 1833 902 58 26;( Parliament rejected the request . ) The Madam President . ;900 64 828 4 1833 26 902 226 635 58 26;6.0806607078022875e-05;1;1
Zum Mittwoch liegt mir noch ein weiterer Antrag betreffend die mündliche Anfrage über die Kapitalsteuer vor . ;1099 5936 644 940 613 67 3892 1667 1685 16 7057 2552 153 16 0 96 25;Still on the subject of Wednesday s sitting , I have another proposal regarding the oral question on capital tax . ;7414 82 4 2254 12 5460 24 698 20 117 113 1941 240 678 4 5928 213 82 652 601 26;Wednesday is a further request on oral question on . ;5460 28 35 2180 1833 82 5928 213 82 26;1.4326767958701222e-08;1;3
Die PPE/DE-Fraktion beantragt , diesen Punkt von der Tagesordnung abzusetzen . ;37 0 6139 14 313 1065 46 5 1002 0 25;The PPE-DE Group is requesting that this item be taken off the agenda . ;226 3686 234 28 5396 31 124 3063 8 855 1005 4 1001 26;The ;226;4.494687157692146e-06;2;3
Es gibt auch Beschlüsse gegen eine solche Steuer . ;416 1385 188 363 280 211 866 586 25;Decisions have also been adopted against a tax of this kind . ;14388 113 342 78 1376 177 35 601 12 124 2563 26;There are also decisions against tax . ;1363 41 342 441 177 601 26;4.280630487802907e-07;1;1
Vielen Dank , Herr Poettering . ;924 925 14 53 848 25;Thank you , Mr Poettering . ;447 448 20 47 867 26;Thank you , Mr Poettering . ;447 448 20 47 867 26;0.036929753085231776;1;1
Zum einen belehrt er die Sozialdemokratische Fraktion , weil diese eine ganz klare und eindeutige Entscheidung der Konferenz der Präsidenten in Frage stellt . Und nun tut er genau dasselbe . ;1099 232 0 700 16 17880 1011 14 469 127 211 109 3076 20 2264 809 5 1123 5 3258 4 202 2762 25 972 349 7512 700 3585 4049 25;He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents , and now he is doing just the same . ;703 76 340 78 0 37 4 234 12 4 827 12 193 4925 481 108 3731 424 82 35 49 855 3 35 1518 72 3188 242 4 474 12 6761 20 53 362 711 28 951 340 4 962 26;Terror does he pave Socialist Group , because clear and clear decision of Conference Presidents in . now the same . ;13280 456 711 11344 1540 234 20 481 72 53 72 49 12 474 6761 3 26 362 4 962 26;7.235111695419875e-16;1;1
Wir haben diskutiert , wir waren uns einig , nur die EVP-Fraktion und die Liberalen nicht . ;129 95 933 14 42 819 285 2930 14 8 16 7303 20 16 1592 315 25;We discussed that matter and we were unanimous , with the exception of the PPE and ELDR Groups . ;40 945 31 1077 53 318 114 5978 20 46 4 3952 12 4 6514 53 5924 6352 26;We have discussed we agree the PPE-DE Group and Liberals . ;40 113 945 318 583 4 3686 234 53 5896 26;2.5024608905907757e-08;1;1
Und ich hatte noch darauf hingewiesen , die anderen Präsidentenkollegen werden sich noch daran erinnern , daß es nicht darum geht , ob man für oder gegen die Tobin-Steuer ist , sondern darum , ob wir bereit sind , uns anzuhören , was die Kommission und der Rat davon halten . ;972 210 2441 613 561 1651 14 16 1242 0 115 180 613 941 888 14 30 27 315 419 417 14 1469 201 32 69 280 16 13189 7 14 326 419 14 1469 42 2519 87 14 285 11607 14 184 16 219 20 5 377 921 41 25;As my fellow chairmen will recall , I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax , but of whether one dared to hear what the Commission and the Council thought of it . ;292 844 1960 6277 125 904 20 117 976 546 31 86 834 77 35 1077 12 13031 1142 413 834 61 66 177 4 625 601 20 322 12 1142 413 18280 37 2728 467 4 227 53 4 143 865 12 86 26;And I had other will recall that not whether is or Tobin Tax but whether we are prepared , what the Commission and the Council was . ;1393 117 442 731 125 904 31 77 1142 28 66 625 16342 322 1142 318 41 4053 20 467 4 227 53 4 143 834 26;6.201431035996138e-25;1;2
Das ist nicht zuviel verlangt . ;157 7 315 5782 6806 25;It is not a lot to ask . ;27 28 77 35 2414 37 708 26;This is not excessive ask . ;162 28 77 1295 708 26;0.0032423130737203936;1;2
Wir stimmen jetzt über den Antrag der PPE/DE-Fraktion ab , die mündliche Anfrage über die Kapitalsteuer von der Tagesordnung abzusetzen . ;129 2276 949 153 33 1667 5 0 922 14 16 7057 2552 153 16 0 46 5 1002 0 25;We shall proceed to vote on the PPE-DE Group s request that the oral question regarding the capital tax be withdrawn from the agenda . ;40 331 4497 37 1181 82 4 3686 234 24 1833 31 4 5928 213 678 4 652 601 8 2411 186 4 1001 26;We now proposal oral question on of agenda . ;40 362 240 5928 213 82 12 1001 26;3.42373800131012e-10;1;3
Frau Präsidentin , ich möchte Herrn Poettering für das Rühren der Werbetrommel zugunsten dieser Aussprache danken . ;617 618 14 210 108 143 848 32 15 0 5 0 2664 82 262 448 25;Madam President , I would like to thank Mr Poettering for advertising this debate . ;635 58 20 117 427 118 37 449 47 867 61 6581 124 269 26;Madam President , I would like Poettering Mr for in favour debate . ;635 58 20 117 427 118 867 47 61 3 1015 269 26;1.769793091914152e-06;1;2
Vielen Dank . ;924 925 25;Thank you very much . ;447 448 372 781 26;Thank you . ;447 448 26;0.34386044849459485;1;1
Frau Präsidentin ! Ist meine Stimme mitgezählt worden ? ;617 618 58 1734 836 5403 0 432 554;Madam President , has my vote been counted ? ;635 58 20 76 844 1181 78 12396 577;Madam President , is ? ;635 58 20 28 577;0.0018845128882034282;1;3
Ich habe dafür gestimmt . ;107 284 938 2908 25;My vote was in favour . ;1933 1181 834 3 1015 26;I in favour . ;117 3 1015 26;0.01948506112062958;1;2
In der Tat , wenn man die beiden Mitglieder , die sich gemeldet haben hinzuzählt , dann ergibt sich als Ergebnis . . . ;437 5 88 14 278 201 16 1116 1117 14 16 180 4873 95 0 14 569 5162 180 354 1164 25 25 25;Indeed , if we add the two Members who have declared themselves , then the result of the vote would be . . . . ;1485 20 121 318 2310 4 386 445 287 113 6297 2941 20 330 4 1291 12 4 1181 427 8 26 26 26 26;In fact , , if two be result . . . ;451 531 20 20 121 386 8 1291 26 26 26;6.078787588483772e-13;1;5
