Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.05528663906222663;1;4
Wir freuen uns hier alle , daß das Gericht ihn freigesprochen und deutlich gemacht hat , daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist . ;129 11219 285 531 706 14 30 15 3093 2384 0 20 2339 1213 120 14 30 188 4 5454 5 3970 28 11598 0 309 7 25;All of us here are pleased that the courts have acquitted him and made it clear that in Russia , too , access to environmental information is a constitutional right . ;918 12 295 712 41 4118 31 4 4612 113 10878 2247 53 228 86 72 31 3 5031 20 404 20 1713 37 933 204 28 35 2300 871 26;We look forward all that the and that in Russia information access environment possess right . ;40 690 1885 223 31 4 53 31 3 5031 204 1713 1459 12717 871 26;1.0398851426782001e-19;1;2
Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee , und deswegen bitte ich Sie , einen Briefentwurf , der Ihnen die wichtigsten Fakten schildert , zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen . ;1365 1536 87 16 10 32 16 779 1342 587 2455 5 0 14 20 7213 578 210 394 14 232 0 14 5 445 16 3362 6038 0 14 28 2644 20 73 472 5 363 50 572 4 5454 127 697 2339 28 397 25;These findings form the basis of the European programmes to protect the Barents Sea , and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament s position , as expressed in the resolutions which it has adopted , clear as far as Russia is concerned . ;1471 1188 524 4 264 12 4 193 1325 37 2612 4 20526 10093 20 53 31 28 710 117 427 708 448 37 2468 35 1035 2340 1369 1073 4 304 183 5548 53 37 119 64 24 707 20 21 1131 3 4 62 15 86 76 1376 20 72 21 1098 21 5031 28 42 26;these make . ;84 119 26;1.0420581058734365e-34;1;2
Dennoch , Frau Präsidentin , wurde meinem Wunsch nicht entsprochen . ;2969 14 617 618 14 412 849 2208 315 5159 25;But , Madam President , my personal request has not been met . ;1846 20 635 58 20 844 2794 1833 76 77 78 1750 26;Madam President , has been my does not granted . ;635 58 20 76 78 844 456 77 2370 26;1.3356813239427708e-08;1;2
Frau Plooij-van Gorsel , ich kann Ihnen mitteilen , daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht . ;617 7747 6637 14 210 371 445 3603 14 30 82 1065 721 5936 9 5 1002 5 7791 36 25;Mrs Plooij-van Gorsel , I can tell you that this matter is on the agenda for the Quaestors meeting on Wednesday . ;2185 6088 6089 20 117 6 1751 448 31 124 1077 28 82 4 1001 61 4 7153 1290 82 5460 26;Plooij-van I can that this place on Wednesday to agenda Quaestors it . ;6088 117 6 31 124 856 82 5460 37 1001 7153 86 26;6.964669285462346e-13;1;3
Ich hoffe , daß dort in Ihrem Sinne entschieden wird . ;107 1845 14 30 955 4 9819 472 874 139 25;It will , I hope , be examined in a positive light . ;27 125 20 117 136 20 8 4822 3 35 485 2646 26;I hope that . ;117 136 31 26;3.847094314139849e-06;1;2
Frau Präsidentin , können Sie mir sagen , warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält , die es selbst verabschiedet hat ? ;617 618 14 311 394 940 436 14 477 180 207 63 315 113 16 0 2554 14 16 27 666 2308 120 554;Madam President , can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes ? ;635 58 20 6 448 1751 766 710 124 64 456 77 7550 37 4 973 53 360 279 31 86 2004 18219 577;Madam President , why Parliament not of themselves ? ;635 58 20 710 64 77 12 2941 577;1.6269400411470613e-15;1;2
Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten ? ;9148 7 5 0 872 161 315 67 6250 1310 0 554;Why has there been no Health and Safety Committee meeting since 1998 ? ;1320 76 672 78 740 4435 53 9781 1046 1290 107 166 577;Why is the for a single time ? ;1320 28 4 61 35 1693 398 577;4.556748528150098e-08;1;7
Warum finden keine Brandschutzbelehrungen statt ? ;804 214 80 0 934 554;Why are there no fire instructions ? ;1320 41 672 740 6395 15410 577;Why there ? ;1320 672 577;0.0009116754378372414;1;3
Warum wurde nach meinem Unfall nichts unternommen , um die Treppen sicherer zu machen ? ;804 412 147 849 12990 2482 2881 14 390 16 0 1943 28 397 554;Why have the staircases not been improved since my accident ? ;1320 113 4 28896 77 78 3174 107 844 3540 577;Why no to make ? ;1320 740 37 119 577;4.408371128772945e-10;1;3
Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt ? ;804 139 4 33 0 15 0 315 5013 554;Why are no-smoking areas not enforced ? ;1320 41 9521 425 77 4638 577;Why will the ? ;1320 125 4 577;1.4434161040510558e-07;1;3
Es ist eine Schande , daß wir Regeln verabschieden , an die wir uns dann selbst nicht halten . ;416 7 211 4565 14 30 42 2058 5156 14 113 16 42 285 569 666 315 41 25;It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves . ;27 602 1939 1427 31 318 3297 279 53 580 77 7550 37 86 686 26;It is a disgrace that we adopt rules measures we . ;27 28 35 8257 31 318 1457 1905 644 318 26;4.649838449035929e-13;1;2
Frau Lynne , Sie haben völlig recht , und ich werde prüfen , ob all dies wirklich so ist . ;617 1920 14 394 95 1195 4849 14 20 210 1165 2644 14 1469 3431 302 1921 208 7 25;Mrs Lynne , you are quite right and I shall check whether this has actually not been done . ;2185 14283 20 448 41 120 871 53 117 331 3293 1142 124 76 2004 77 78 460 26;Lynne , you have and I will consider whether all is . ;14283 20 448 113 53 117 125 109 1142 223 28 26;1.1296465987706265e-09;1;2
Ich bitte , diese Entscheidung zu überdenken , weil das nicht der Fall ist . ;107 578 14 127 809 28 6865 14 469 15 315 5 908 7 25;I would ask that they reconsider , since this is not the case . ;117 427 708 31 108 6947 20 107 124 28 77 4 922 26;I ask reconsider this decision because the . ;117 708 6947 124 49 481 4 26;8.610235599146968e-10;1;2
Lieber Kollege , wir werden das prüfen . ;858 1460 14 42 115 15 2644 25;Mr Berenguer Fuster , we shall check all this . ;47 10226 16349 20 318 331 3293 223 124 26;Dear , we will examine . ;16443 20 318 125 2468 26;5.0493214072567025e-05;1;2
Ich muß Ihnen aber sagen , daß ich die Lage im Moment für etwas verworren halte . ;107 334 445 383 436 14 30 210 16 2721 73 690 32 558 0 1115 25;I admit that , at present , the matter seems to be somewhat confused . ;117 2617 31 20 242 153 20 4 1077 602 37 8 3024 5078 26;I must that I . ;117 347 31 117 26;6.376199936306537e-12;1;3
Wir werden das aber sehr genau prüfen , damit alles seine Richtigkeit hat . ;129 115 15 383 510 3585 2644 14 1232 406 164 5962 120 25;We shall therefore look into it properly to ensure that everything is as it should be . ;40 331 29 690 847 86 5183 37 770 31 2046 28 21 86 33 8 26;We will the but look at so that everything accurate . ;40 125 4 322 690 242 1097 31 2046 7935 26;1.3186825649686921e-08;1;2
Das Parlament sollte , da dies dem Wunsch der großen Mehrheit entspricht , eine entsprechende Botschaft senden . ;157 63 694 14 104 302 61 2208 5 1015 986 2522 14 211 1397 3773 5259 25;So Parliament should send a message , since that is the wish of the vast majority . ;724 64 33 3976 35 3524 20 107 31 28 4 92 12 4 3246 985 26;Parliament should of because this great majority message sending . ;64 33 12 481 124 320 985 3524 1625 26;2.3962187306615877e-14;1;1
Die Ablehnung einer Verlängerung des Embargos seitens der EU-Mitgliedstaaten ist unverantwortlich . ;37 5522 456 3525 50 5472 4136 5 11136 7 6144 25;It is irresponsible of EU Member States to refuse to renew the embargo . ;27 28 4958 12 32 202 75 37 9027 37 13854 4 5055 26;The no a extending embargo the EU Member States is irresponsible . ;226 740 35 5529 5055 4 32 202 75 28 4958 26;1.6809476749381858e-06;1;3
Wie bereits festgestellt wurde , ist die Lage in Indonesien äußerst instabil . ;282 260 2853 412 14 7 16 2721 4 2990 1147 18390 25;As people have said , the situation there is extremely volatile . ;292 420 113 532 20 4 69 672 28 475 28597 26;As is the Indonesia . ;292 28 4 2772 26;2.822207724949159e-09;1;1
Es besteht sogar die Gefahr eines Militärputsches . ;416 2137 2675 16 1606 11 0 25;There is , in fact , a risk of a military coup in the future . ;1363 28 20 3 531 20 35 4073 12 35 2280 17514 3 4 959 26;It is even risk . ;27 28 976 4073 26;3.109291587904602e-06;1;4
Wir wissen nicht , was passiert . ;129 887 315 14 184 3730 25;We do not know what is happening . ;40 580 77 335 467 28 3158 26;We know do not what happens . ;40 335 580 77 467 4932 26;0.0016551597309959073;1;2
Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen . ;1041 1065 7 1101 315 32 16 4916 721 1672 1703 25;In any event , this question is not presently included among the requests for topical and urgent debate on Thursday . ;451 452 453 20 124 213 28 77 3122 1945 1053 4 4757 61 4557 53 407 269 82 1644 26;This point is so far on place on Thursday . ;162 1089 28 1097 1098 82 856 82 1644 26;3.816157960460674e-08;1;2
Arbeitsplan ;5943;Agenda ;2110;Order of business ;4833 12 1160;0.6666666666666666;1;1
Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung , wie er nach Artikel 110 der Geschäftsordnung am Donnerstag , dem 13 . Januar von der Konferenz der Präsidenten festgelegt wurde . ;2212 5 1002 3317 16 242 50 3606 2637 5 1002 14 420 700 147 453 12021 5 755 721 1672 14 61 2735 25 2448 46 5 1123 5 3258 3338 412 25;The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure . ;226 1260 3063 28 4 6926 12 4 3149 4924 12 4 1035 1001 21 3285 890 10 4 474 12 6761 242 170 1290 12 2541 4368 3170 37 1614 11365 12 4 771 12 772 26;The next item is the of the of the item it soon as Article of the Rules of Procedure on place on Thursday , 13 Presidents . ;226 1260 3063 28 4 12 4 12 4 3063 86 2049 21 454 12 4 771 12 772 82 856 82 1644 20 2541 6761 26;3.0734602605334306e-26;1;2
Zum Mittwoch ;1099 5936;Relating to Wednesday ;32526 37 5460;Wednesday ;5460;0.1075268817204301;1;1
Die Sozialdemokratische Fraktion beantragt , eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen . ;37 17880 1011 6139 14 211 896 5 219 153 807 2068 1136 32 16 566 384 385 271 153 16 0 5 219 4 16 1002 1903 25;The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission . ;226 234 12 4 827 12 193 4925 4757 31 35 227 571 8 1945 82 170 1890 1473 61 4 1260 396 397 53 82 4 3554 965 12 4 227 26;The Group Group their strategic objectives for next five years about in the agenda into . ;226 234 234 111 1890 1473 61 1260 396 397 339 3 4 1001 847 26;9.671892796995682e-23;1;2
Somit hatte die Kommission bereits genügend Zeit , ihr Programm zu erarbeiten , und wir , um es kennenlernen und den Bürgern erklären zu können . ;2818 2441 16 219 260 5146 291 14 1401 158 28 4861 14 20 42 14 390 27 0 20 33 319 1121 28 311 25;There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens . ;1363 76 29 78 2917 398 61 4 227 37 1528 170 163 53 61 295 37 666 719 46 86 53 487 86 37 154 333 26;This had time programme and we to possible and . ;162 442 398 163 53 318 37 209 53 26;8.954730286151093e-19;1;2
In diesem Sinne erinnere ich an die Entschließung vom 15 . September , in der empfohlen wurde , den Vorschlag in der kürzestmöglichen Frist vorzulegen . ;437 137 472 6926 210 113 16 1535 743 299 25 9041 14 4 5 5828 412 14 33 233 4 5 0 1507 2102 25;To this end , I would like to remind you of the resolution of 15 September , which recommended that the proposal be presented as soon as possible . ;1262 124 349 20 117 427 118 37 1882 448 12 4 1065 12 315 7695 20 15 2132 31 4 240 8 239 21 2049 21 209 26;In this , I the of 15 , recommends proposal in . ;451 124 20 117 4 12 315 20 6503 240 3 26;3.19897386539317e-20;1;2
Nach den Worten ihres Präsidenten ist sie dazu in der Lage . ;2212 33 3000 2707 3258 7 241 1064 4 5 2721 25;According to its President , it is in a position to do so . ;4169 37 170 58 20 86 28 3 35 707 37 580 1097 26;The next words of President is in . ;226 1260 1981 12 58 28 3 26;2.378478506387233e-08;1;2
Da die Kommission durch die Vizepräsidentin , Frau de Palacio , vertreten ist , halte ich es für zweckmäßig , vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms , so wie es vereinbart war , zu erfahren . ) , oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage , wie einige offenbar vorgeben . ;3729 16 219 189 16 4418 14 617 1170 6648 14 1641 7 14 1115 210 27 32 7326 14 96 5 1190 16 697 5 219 331 93 2866 222 4466 50 1821 14 208 420 27 10325 818 14 28 3583 25 886 14 69 15 63 7 222 242 207 1821 315 4 5 2721 14 420 146 4006 14923 25;Given that the Commission is represented by Vice-President de Palacio , I believe that , before voting , it would help if the Commission could let us know how ready it is to present this programme , as agreed . Alternatively , Parliament is not ready to examine this programme , as some appear to be suggesting . ;4196 31 4 227 28 4262 10 4133 6287 6097 20 117 208 31 20 101 2267 20 86 427 1903 121 4 227 461 1749 295 335 431 700 86 28 37 153 124 163 20 21 2715 26 13204 20 64 28 77 700 37 2468 124 163 20 21 149 4179 37 8 4536 26;As Commission , that , de Palacio , I think sound before vote the position Commission willingness to of the programme was . ) , or the Parliament is to examine programme situation such as obviously . ;292 227 20 31 20 6287 6097 20 117 377 1364 101 1181 4 707 227 8023 37 12 4 163 834 26 902 20 66 4 64 28 37 2468 163 69 972 21 2420 26;2.4324956419272284e-49;1;2
Daher bitte ich Sie , Frau Präsidentin , die Kommission zu ersuchen , sich jetzt zu äußern , und danach zur Abstimmung zu schreiten . ;1897 578 210 394 14 617 618 14 16 219 28 4366 14 180 949 28 1511 14 20 2149 222 1190 28 12508 25;Therefore , Madam President , I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote . ;939 20 635 58 20 117 427 708 448 37 1833 31 4 227 1307 170 492 82 124 216 53 31 318 330 4497 37 4 1181 26;Madam President , the Commission now and the then vote . ;635 58 20 4 227 362 53 4 330 1181 26;1.9449078046669545e-16;1;2
( Beifall der PSE-Fraktion ) ;884 885 5 1668 886;( Applause from the PSE Group ) ;900 901 186 4 1642 234 902;( Applause the PSE Group ) ;900 901 4 1642 234 902;0.02086487546171434;1;4
Herr Kollege Barón Crespo , Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein . ;53 1460 7589 7590 14 394 85 721 1092 1672 4 5 1123 5 3258 315 3483 1035 25;Mr Barón Crespo , you were unable to attend the Conference of Presidents last Thursday . ;47 6990 6991 20 448 114 2633 37 3840 4 474 12 6761 1416 1644 26;Mr Crespo , you last Thursday in Presidents present be . ;47 6991 20 448 1416 1644 3 6761 153 8 26;1.184795335460813e-13;1;2
Das kritisiere ich nicht es kommt immer mal vor , daß man sich vertreten läßt . ;157 0 210 315 27 1078 671 698 96 14 30 201 180 1641 251 25;I am not criticising this it happens from time to time that people send someone to represent them . ;117 681 77 6728 124 86 4932 186 398 37 398 31 420 3976 1942 37 68 161 26;This not always that . ;162 77 768 31 26;4.292608536337479e-12;1;4
Der Kollege Hänsch hat Sie dort vertreten . ;376 1460 5935 120 394 955 1641 25;Mr Hänsch represented you on this occasion . ;47 5459 4262 448 82 124 4797 26;Mr Hänsch . ;47 5459 26;1.5051089964205997e-05;1;2
Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt . ;129 95 4 5 1123 5 3258 211 7450 619 2325 25;In the Conference of Presidents , we had an in-depth discussion . ;451 4 474 12 6761 20 318 442 13 5830 1442 26;We have Presidents debate . ;40 113 6761 269 26;3.906393180837239e-09;1;1
Nur Ihre Fraktion hat das vertreten , was Sie jetzt sagen . ;2329 1890 1011 120 15 1641 14 184 394 949 436 25;Your Group was alone in advocating what you are saying now . ;1951 234 834 1144 3 4427 467 448 41 3537 362 26;Only group the same represented as what you . ;2199 596 4 962 4262 21 467 448 26;7.425736754819972e-08;1;4
Wir haben dann abgestimmt . ;129 95 569 6900 25;We then put it to a vote . ;40 330 348 86 37 35 1181 26;We have . ;40 113 26;0.007084052219211327;1;2
Es gab eine Abstimmung zu diesem Punkt . ;416 3271 211 1190 28 137 1065 25;There was a vote on this matter . ;1363 834 35 1181 82 124 1077 26;It were a place . ;27 114 35 856 26;3.2756787396247362e-06;1;3
Das heißt , alle Fraktionen , mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig , nur Ihre Fraktion war der Meinung , so zu verfahren , wie Sie es hier vorgeschlagen haben . ;157 1819 14 706 2277 14 131 4723 5 0 625 383 16 87 529 80 1011 625 819 180 2930 14 8 1890 1011 818 5 1057 14 208 28 1032 14 420 394 27 531 382 95 25;This means that all the Groups with the exception of the non-attached Members - but , of course , they are not a Group - were in agreement only your Group thought that we should proceed as you have proposed here . ;162 11 31 223 4 6352 46 4 3952 12 4 21543 445 638 322 20 12 931 20 108 41 77 35 234 638 114 3 14 7 1234 234 865 31 318 33 4497 21 448 113 393 712 26;The means that is holding group not were agree group the opinions of , so you been have . ;226 11 31 28 6463 596 77 114 583 596 4 3793 12 20 1097 448 78 113 26;1.5189486570746794e-29;1;3
Das war der Beschluß . ;157 818 5 45 25;That was the decision . ;1014 834 4 49 26;This was the two ;162 834 4 386;0.001829745181162432;1;3
Jetzt möchte ich zur Sache selbst etwas sagen . ;1338 108 210 222 1964 666 558 436 25;I should now like to comment on the issue itself . ;117 33 362 118 37 1487 82 4 216 884 26;Now I want . ;2537 117 738 26;1.206334391576699e-05;1;3
Aber wir sind auch der Meinung , daß wir eine Debatte über diese Strategie der Kommission in einem geordneten Verfahren führen müssen , nicht nur aufgrund einer mündlichen Erklärung hier im Europäischen Parlament , sondern auch aufgrund eines Dokumentes , das in der Kommission beschlossen ist und dieses Programm für fünf Jahre beschreibt . ;1559 42 87 188 5 1057 14 30 42 211 619 153 127 2983 5 219 4 48 0 1319 269 317 14 315 8 1075 456 6455 896 531 73 62 63 14 326 188 1075 11 0 14 15 4 5 219 431 7 20 207 158 32 384 385 13465 25;We believe , however , that the Commission s strategic plan needs to be debated within a proper procedural framework , not only on the basis of an oral statement here in the European Parliament , but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period . ;40 208 20 693 20 31 4 227 24 1890 189 298 37 8 3866 561 35 1118 7751 562 20 77 7 82 4 264 12 13 5928 571 712 3 4 193 64 20 322 342 82 4 264 12 35 2178 15 28 1376 3 4 227 53 15 3402 124 163 96 4 1909 165 26;But we the that we on these Commission in a not only a statement obtains the European Parliament , but also because Commission decided is and five years describes . ;1846 318 4 31 318 82 84 227 3 35 77 7 35 571 28073 4 193 64 20 322 342 481 227 982 28 53 396 397 3402 26;1.5948539840418493e-39;1;2
Ein solches Dokument gibt es nicht ! ;1 6537 2304 1385 27 315 58;There is no such document ! ;1363 28 740 972 2178 713;Such document not ! ;615 2178 77 713;0.00010343024816665646;1;3
Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen . ;37 219 139 15 158 32 15 105 1360 73 5150 2464 25;The Commission will present its programme for the year 2000 in February . ;226 227 125 153 170 163 61 4 1013 1340 3 2307 26;The Commission will the the 2000 . ;226 227 125 4 4 1340 26;8.723707819280548e-09;1;2
Wir haben dem zugestimmt . ;129 95 61 5500 25;We have agreed to this . ;40 113 2715 37 124 26;We have to . ;40 113 37 26;0.001182301094423089;1;2
